字段1,字段2,字段3
"
          问
          保证人的条件有哪些        ","保证人的条件：

1、具有相应的民事行为能力；

2、具有相应的债务偿还能力；

3、不属于法律规定的不得担任保证人的民事主体。

《民法典》第六百八十三条规定，机关法人不得为保证人，但是经国务院批准为使用外国政府或者国际经济组织贷款进行转贷的除外。

以公益为目的的非营利法人、非法人组织不得为保证人。

第六百八十一条规定，保证合同是为保障债权的实现，保证人和债权人约定，当债务人不履行到期债务或者发生当事人约定的情形时，保证人履行债务或者承担责任的合同。","
                  法律依据：
                  《民法典》第六百八十三条

机关法人不得为保证人，但是经国务院批准为使用外国政府或者国际经济组织贷款进行转贷的除外。

以公益为目的的非营利法人、非法人组织不得为保证人。

第六百八十一条

保证合同是为保障债权的实现，保证人和债权人约定，当债务人不履行到期债务或者发生当事人约定的情形时，保证人履行债务或者承担责任的合同。                "
"
          问
          债权债务转让协议要公证吗        ","债权债务转让协议不需要公证，但当事人可以自愿进行公证。

《民法典》第五百四十五条规定，债权人可以将债权的全部或者部分转让给第三人，但是有下列情形之一的除外：

（一）根据债权性质不得转让；

（二）按照当事人约定不得转让；

（三）依照法律规定不得转让。

当事人约定非金钱债权不得转让的，不得对抗善意第三人。当事人约定金钱债权不得转让的，不得对抗第三人。

第五百五十一条规定，债务人将债务的全部或者部分转移给第三人的，应当经债权人同意。

债务人或者第三人可以催告债权人在合理期限内予以同意，债权人未作表示的，视为不同意。","
                  法律依据：
                  《民法典》第五百四十五条

债权人可以将债权的全部或者部分转让给第三人，但是有下列情形之一的除外：

（一）根据债权性质不得转让；

（二）按照当事人约定不得转让；

（三）依照法律规定不得转让。

当事人约定非金钱债权不得转让的，不得对抗善意第三人。当事人约定金钱债权不得转让的，不得对抗第三人。                "
"
          问
          出具欠条的法律效力        ","欠条是证明欠款关系的凭证，债权人可以依据欠条要求债务人偿还欠款。

《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第二条规定，出借人向人民法院提起民间借贷诉讼时，应当提供借据、收据、欠条等债权凭证以及其他能够证明借贷法律关系存在的证据。

当事人持有的借据、收据、欠条等债权凭证没有载明债权人，持有债权凭证的当事人提起民间借贷诉讼的，人民法院应予受理。被告对原告的债权人资格提出有事实依据的抗辩，人民法院经审查认为原告不具有债权人资格的，裁定驳回起诉。","
                  法律依据：
                  《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第二条

出借人向人民法院提起民间借贷诉讼时，应当提供借据、收据、欠条等债权凭证以及其他能够证明借贷法律关系存在的证据。

当事人持有的借据、收据、欠条等债权凭证没有载明债权人，持有债权凭证的当事人提起民间借贷诉讼的，人民法院应予受理。被告对原告的债权人资格提出有事实依据的抗辩，人民法院经审查认为原告不具有债权人资格的，裁定驳回起诉。                "
"
          问
          有欠条不还钱要坐牢吗        ","债务人不还钱，属于民事纠纷，不会坐牢，债权人可以起诉要求对方还钱。如果对方借钱涉及诈骗等犯罪行为的，需要承担刑事责任。

《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第二条规定，出借人向人民法院提起民间借贷诉讼时，应当提供借据、收据、欠条等债权凭证以及其他能够证明借贷法律关系存在的证据。

当事人持有的借据、收据、欠条等债权凭证没有载明债权人，持有债权凭证的当事人提起民间借贷诉讼的，人民法院应予受理。被告对原告的债权人资格提出有事实依据的抗辩，人民法院经审查认为原告不具有债权人资格的，裁定驳回起诉。","
                  法律依据：
                  最高人民法院关于审理民间借贷案件适用法律若干问题的规定第二条

出借人向人民法院提起民间借贷诉讼时，应当提供借据、收据、欠条等债权凭证以及其他能够证明借贷法律关系存在的证据。

当事人持有的借据、收据、欠条等债权凭证没有载明债权人，持有债权凭证的当事人提起民间借贷诉讼的，人民法院应予受理。被告对原告的债权人资格提出有事实依据的抗辩，人民法院经审查认为原告不具有债权人资格的，裁定驳回起诉。                "
"
          问
          夫妻双方个人债务认定        ","夫妻双方个人债务可按以下规定认定：

《民法典》第一千零六十四条第二款规定，夫妻一方在婚姻关系存续期间以个人名义超出家庭日常生活需要所负的债务，不属于夫妻共同债务；但是，债权人能够证明该债务用于夫妻共同生活、共同生产经营或者基于夫妻双方共同意思表示的除外。

《最高人民法院关于适用婚姻家庭编的解释（一）》第三十三条规定，债权人就一方婚前所负个人债务向债务人的配偶主张权利的，人民法院不予支持。但债权人能够证明所负债务用于婚后家庭共同生活的除外。","
                  法律依据：
                  《民法典》第一千零六十四条

夫妻双方共同签名或者夫妻一方事后追认等共同意思表示所负的债务，以及夫妻一方在婚姻关系存续期间以个人名义为家庭日常生活需要所负的债务，属于夫妻共同债务。

夫妻一方在婚姻关系存续期间以个人名义超出家庭日常生活需要所负的债务，不属于夫妻共同债务；但是，债权人能够证明该债务用于夫妻共同生活、共同生产经营或者基于夫妻双方共同意思表示的除外。

《最高人民法院关于适用婚姻家庭编的解释（一）》第三十三条

债权人就一方婚前所负个人债务向债务人的配偶主张权利的，人民法院不予支持。但债权人能够证明所负债务用于婚后家庭共同生活的除外。                "
"
          问
          担保物权在什么情况下消灭        ","根据《民法典》第三百九十三条规定，有下列情形之一的，担保物权消灭：

（一）主债权消灭；

（二）担保物权实现；

（三）债权人放弃担保物权；

（四）法律规定担保物权消灭的其他情形。

第三百九十一条规定，第三人提供担保，未经其书面同意，债权人允许债务人转移全部或者部分债务的，担保人不再承担相应的担保责任。

第三百八十六条规定，担保物权人在债务人不履行到期债务或者发生当事人约定的实现担保物权的情形，依法享有就担保财产优先受偿的权利，但是法律另有规定的除外。","
                  法律依据：
                  《民法典》第三百九十三条

有下列情形之一的，担保物权消灭：

（一）主债权消灭；

（二）担保物权实现；

（三）债权人放弃担保物权；

（四）法律规定担保物权消灭的其他情形。

第三百九十一条

第三人提供担保，未经其书面同意，债权人允许债务人转移全部或者部分债务的，担保人不再承担相应的担保责任。                "
"
          问
          一般债权债务纠纷的诉讼时效是几年        ","根据《民法典》第一百八十八条规定，一般债权债务纠纷的诉讼时效是3年。法律另有规定的，依照其规定。

诉讼时效期间自权利人知道或者应当知道权利受到损害以及义务人之日起计算。法律另有规定的，依照其规定。但是，自权利受到损害之日起超过二十年的，人民法院不予保护，有特殊情况的，人民法院可以根据权利人的申请决定延长。

第一百九十二条规定，诉讼时效期间届满的，义务人可以提出不履行义务的抗辩。

诉讼时效期间届满后，义务人同意履行的，不得以诉讼时效期间届满为由抗辩；义务人已经自愿履行的，不得请求返还。","
                  法律依据：
                  《民法典》第一百八十八条

向人民法院请求保护民事权利的诉讼时效期间为三年。法律另有规定的，依照其规定。

诉讼时效期间自权利人知道或者应当知道权利受到损害以及义务人之日起计算。法律另有规定的，依照其规定。但是，自权利受到损害之日起超过二十年的，人民法院不予保护，有特殊情况的，人民法院可以根据权利人的申请决定延长。

第一百九十二条

诉讼时效期间届满的，义务人可以提出不履行义务的抗辩。

诉讼时效期间届满后，义务人同意履行的，不得以诉讼时效期间届满为由抗辩；义务人已经自愿履行的，不得请求返还。                "
"
          问
          民间借贷违约金的法律规定        ","民间借贷违约金的法律规定：

《民法典》第五百八十五条规定，当事人可以约定一方违约时应当根据违约情况向对方支付一定数额的违约金，也可以约定因违约产生的损失赔偿额的计算方法。

约定的违约金低于造成的损失的，人民法院或者仲裁机构可以根据当事人的请求予以增加；约定的违约金过分高于造成的损失的，人民法院或者仲裁机构可以根据当事人的请求予以适当减少。

当事人就迟延履行约定违约金的，违约方支付违约金后，还应当履行债务。","
                  法律依据：
                  《民法典》第五百八十五条

当事人可以约定一方违约时应当根据违约情况向对方支付一定数额的违约金，也可以约定因违约产生的损失赔偿额的计算方法。

约定的违约金低于造成的损失的，人民法院或者仲裁机构可以根据当事人的请求予以增加；约定的违约金过分高于造成的损失的，人民法院或者仲裁机构可以根据当事人的请求予以适当减少。

当事人就迟延履行约定违约金的，违约方支付违约金后，还应当履行债务。                "
"
          问
          借贷合同诉讼时效        ","根据《民法典》第一百八十八条规定，借贷合同诉讼时效期间为3年。法律另有规定的，依照其规定。

诉讼时效期间自权利人知道或者应当知道权利受到损害以及义务人之日起计算。法律另有规定的，依照其规定。但是，自权利受到损害之日起超过二十年的，人民法院不予保护，有特殊情况的，人民法院可以根据权利人的申请决定延长。

第一百八十九条规定，当事人约定同一债务分期履行的，诉讼时效期间自最后一期履行期限届满之日起计算。","
                  法律依据：
                  《民法典》第一百八十八条

向人民法院请求保护民事权利的诉讼时效期间为三年。法律另有规定的，依照其规定。

诉讼时效期间自权利人知道或者应当知道权利受到损害以及义务人之日起计算。法律另有规定的，依照其规定。但是，自权利受到损害之日起超过二十年的，人民法院不予保护，有特殊情况的，人民法院可以根据权利人的申请决定延长。

第一百八十九条

当事人约定同一债务分期履行的，诉讼时效期间自最后一期履行期限届满之日起计算。                "
"
          问
          破产债权的申报期限是多久        ","根据《企业破产法》第四十五条规定，人民法院受理破产申请后，应当确定债权人申报债权的期限。债权申报期限自人民法院发布受理破产申请公告之日起计算，最短不得少于三十日，最长不得超过三个月。

第四十六条规定，未到期的债权，在破产申请受理时视为到期。

附利息的债权自破产申请受理时起停止计息。

第四十七条规定，附条件、附期限的债权和诉讼、仲裁未决的债权，债权人可以申报。

第四十九条规定，债权人申报债权时，应当书面说明债权的数额和有无财产担保，并提交有关证据。申报的债权是连带债权的，应当说明。","
                  法律依据：
                  《中华人民共和国企业破产法》第四十五条

人民法院受理破产申请后，应当确定债权人申报债权的期限。债权申报期限自人民法院发布受理破产申请公告之日起计算，最短不得少于三十日，最长不得超过三个月。

第四十六条

未到期的债权，在破产申请受理时视为到期。

附利息的债权自破产申请受理时起停止计息。

第四十七条

附条件、附期限的债权和诉讼、仲裁未决的债权，债权人可以申报。                "
"
          问
          债权人行使代位权的条件有哪些        ","债权人行使代位权的条件有：

1、债权人与债务人有合法的债权；

2、债务人怠于行使其到期债权，对债权人造成损害；

3、债务人的债权已到期；

4、债务人的债权不是专属于债务人自身的债权。

《民法典》第五百三十五条规定，因债务人怠于行使其债权或者与该债权有关的从权利，影响债权人的到期债权实现的，债权人可以向人民法院请求以自己的名义代位行使债务人对相对人的权利，但是该权利专属于债务人自身的除外。

代位权的行使范围以债权人的到期债权为限。债权人行使代位权的必要费用，由债务人负担。

相对人对债务人的抗辩，可以向债权人主张。","
                  法律依据：
                  《民法典》第五百三十五条

因债务人怠于行使其债权或者与该债权有关的从权利，影响债权人的到期债权实现的，债权人可以向人民法院请求以自己的名义代位行使债务人对相对人的权利，但是该权利专属于债务人自身的除外。

代位权的行使范围以债权人的到期债权为限。债权人行使代位权的必要费用，由债务人负担。

相对人对债务人的抗辩，可以向债权人主张。                "
"
          问
          共同借款人只起诉一人可以吗        ","共同借款人只起诉一人是可以的。

《民法典》第五百一十八条规定，债务人为二人以上，债权人可以请求部分或者全部债务人履行全部债务的，为连带债务。

连带债权或者连带债务，由法律规定或者当事人约定。

第五百一十九条规定，连带债务人之间的份额难以确定的，视为份额相同。

实际承担债务超过自己份额的连带债务人，有权就超出部分在其他连带债务人未履行的份额范围内向其追偿，并相应地享有债权人的权利，但是不得损害债权人的利益。其他连带债务人对债权人的抗辩，可以向该债务人主张。

被追偿的连带债务人不能履行其应分担份额的，其他连带债务人应当在相应范围内按比例分担。","
                  法律依据：
                  中华人民共和国民法典第五百一十八条

债权人为二人以上，部分或者全部债权人均可以请求债务人履行债务的，为连带债权；
债务人为二人以上，债权人可以请求部分或者全部债务人履行全部债务的，为连带债务。

连带债权或者连带债务，由法律规定或者当事人约定。                "
"
          问
          欠款强制执行一辈子吗        ","债务人将欠款还上，法院会把强制执行撤销，欠款一直不还的情况下，法院会一直进行强制执行。

《民事诉讼法》第二百五十四条规定，人民法院采取本法第二百四十二条、第二百四十三条、第二百四十四条规定的执行措施后，被执行人仍不能偿还债务的，应当继续履行义务。债权人发现被执行人有其他财产的，可以随时请求人民法院执行。

第二百五十五条规定，被执行人不履行法律文书确定的义务的，人民法院可以对其采取或者通知有关单位协助采取限制出境，在征信系统记录、通过媒体公布不履行义务信息以及法律规定的其他措施。","
                  法律依据：
                  《民事诉讼法》第二百五十四条

人民法院采取本法第二百四十二条、第二百四十三条、第二百四十四条规定的执行措施后，被执行人仍不能偿还债务的，应当继续履行义务。债权人发现被执行人有其他财产的，可以随时请求人民法院执行。

第二百五十五条

被执行人不履行法律文书确定的义务的，人民法院可以对其采取或者通知有关单位协助采取限制出境，在征信系统记录、通过媒体公布不履行义务信息以及法律规定的其他措施。                "
"
          问
          债权转股权纠纷是否可诉讼        ","债权转股权纠纷可以诉讼。

《最高人民法院关于审理与企业改制相关的民事纠纷案件若干问题的规定》第十四条规定，债权人与债务人自愿达成债权转股权协议，且不违反法律和行政法规强制性规定的，人民法院在审理相关的民事纠纷案件中，应当确认债权转股权协议有效。

政策性债权转股权，按照国务院有关部门的规定处理。

第十五条规定，债务人以隐瞒企业资产或者虚列企业资产为手段，骗取债权人与其签订债权转股权协议，债权人在法定期间内行使撤销权的，人民法院应当予以支持。

债权转股权协议被撤销后，债权人有权要求债务人清偿债务。","
                  法律依据：
                  《最高人民法院关于审理与企业改制相关的民事纠纷案件若干问题的规定》第十四条

债权人与债务人自愿达成债权转股权协议，且不违反法律和行政法规强制性规定的，人民法院在审理相关的民事纠纷案件中，应当确认债权转股权协议有效。

政策性债权转股权，按照国务院有关部门的规定处理。

第十五条

债务人以隐瞒企业资产或者虚列企业资产为手段，骗取债权人与其签订债权转股权协议，债权人在法定期间内行使撤销权的，人民法院应当予以支持。

债权转股权协议被撤销后，债权人有权要求债务人清偿债务。                "
"
          问
          民间借贷利息有限额吗        ","民间借贷的利率有限制性规定，但是利息的数额没有限制。

《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第二十五条规定，出借人请求借款人按照合同约定利率支付利息的，人民法院应予支持，但是双方约定的利率超过合同成立时一年期贷款市场报价利率四倍的除外。

前款所称“一年期贷款市场报价利率”，是指中国人民银行授权全国银行间同业拆借中心自2019年8月20日起每月发布的一年期贷款市场报价利率。

《民法典》第六百八十条第一款规定，禁止高利放贷，借款的利率不得违反国家有关规定。","
                  法律依据：
                  《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第二十五条

出借人请求借款人按照合同约定利率支付利息的，人民法院应予支持，但是双方约定的利率超过合同成立时一年期贷款市场报价利率四倍的除外。

前款所称“一年期贷款市场报价利率”，是指中国人民银行授权全国银行间同业拆借中心自2019年8月20日起每月发布的一年期贷款市场报价利率。                "
"
          问
          借款介绍人是否需承担担保责任        ","借款介绍人一般不需承担担保责任，但是介绍人与借款双方另有约定的除外。

《民法典》第九百六十一条规定，中介合同是中介人向委托人报告订立合同的机会或者提供订立合同的媒介服务，委托人支付报酬的合同。

第九百六十二条规定，中介人应当就有关订立合同的事项向委托人如实报告。

中介人故意隐瞒与订立合同有关的重要事实或者提供虚假情况，损害委托人利益的，不得请求支付报酬并应当承担赔偿责任。","
                  法律依据：
                  《民法典》第九百六十一条

中介合同是中介人向委托人报告订立合同的机会或者提供订立合同的媒介服务，委托人支付报酬的合同。

第九百六十二条

中介人应当就有关订立合同的事项向委托人如实报告。

中介人故意隐瞒与订立合同有关的重要事实或者提供虚假情况，损害委托人利益的，不得请求支付报酬并应当承担赔偿责任。                "
"
          问
          没有欠条的钱如何起诉        ","借出去的钱没有打欠条，债权人可以收集双方就欠款沟通的短信记录、微信或其他聊天软件的聊天记录、通话录音、银行转账凭证、证人证言等证据到法院起诉。

《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第二条规定，出借人向人民法院提起民间借贷诉讼时，应当提供借据、收据、欠条等债权凭证以及其他能够证明借贷法律关系存在的证据。

当事人持有的借据、收据、欠条等债权凭证没有载明债权人，持有债权凭证的当事人提起民间借贷诉讼的，人民法院应予受理。被告对原告的债权人资格提出有事实依据的抗辩，人民法院经审查认为原告不具有债权人资格的，裁定驳回起诉。","
                  法律依据：
                  《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第二条

出借人向人民法院提起民间借贷诉讼时，应当提供借据、收据、欠条等债权凭证以及其他能够证明借贷法律关系存在的证据。

当事人持有的借据、收据、欠条等债权凭证没有载明债权人，持有债权凭证的当事人提起民间借贷诉讼的，人民法院应予受理。被告对原告的债权人资格提出有事实依据的抗辩，人民法院经审查认为原告不具有债权人资格的，裁定驳回起诉。                "
"
          问
          借条怎么写        ","借条应由债务人书写并签章，借条要写明的内容有债权人姓名、借款金额、利息计算、还款时间、违约罚金、纠纷处理方式，以及债务人姓名、借款日期等。

《民法典》第六百六十七条规定，借款合同是借款人向贷款人借款，到期返还借款并支付利息的合同。

第六百六十八条规定，借款合同应当采用书面形式，但是自然人之间借款另有约定的除外。

借款合同的内容一般包括借款种类、币种、用途、数额、利率、期限和还款方式等条款。","
                  法律依据：
                  《民法典》第六百六十七条

借款合同是借款人向贷款人借款，到期返还借款并支付利息的合同。

第六百六十八条

借款合同应当采用书面形式，但是自然人之间借款另有约定的除外。

借款合同的内容一般包括借款种类、币种、用途、数额、利率、期限和还款方式等条款。                "
"
          问
          欠债人死了还用还钱吗        ","欠债人死亡，债权人可以要求在分割欠债人遗产前用其遗产清偿债务，遗产已经被继承的可以要求继承人偿还。

《民法典》第一千一百六十一条规定，继承人以所得遗产实际价值为限清偿被继承人依法应当缴纳的税款和债务。超过遗产实际价值部分，继承人自愿偿还的不在此限。

继承人放弃继承的，对被继承人依法应当缴纳的税款和债务可以不负清偿责任。

第一千一百五十九条规定，分割遗产，应当清偿被继承人依法应当缴纳的税款和债务；但是，应当为缺乏劳动能力又没有生活来源的继承人保留必要的遗产。","
                  法律依据：
                  《民法典》第一千一百六十一条

继承人以所得遗产实际价值为限清偿被继承人依法应当缴纳的税款和债务。超过遗产实际价值部分，继承人自愿偿还的不在此限。

继承人放弃继承的，对被继承人依法应当缴纳的税款和债务可以不负清偿责任。

第一千一百五十九条

分割遗产，应当清偿被继承人依法应当缴纳的税款和债务；但是，应当为缺乏劳动能力又没有生活来源的继承人保留必要的遗产。                "
"
          问
          欠债太多无力偿还怎办        ","欠债太多无力偿，债务人可以申请展期，也可以与债权人协商制定还款计划，争取尽早还清款项。

《民法典》第六百七十五条规定，借款人应当按照约定的期限返还借款。对借款期限没有约定或者约定不明确，依据本法第五百一十条的规定仍不能确定的，借款人可以随时返还；贷款人可以催告借款人在合理期限内返还。

第六百七十八条规定，借款人可以在还款期限届满前向贷款人申请展期；贷款人同意的，可以展期。

第六百七十六条规定，借款人未按照约定的期限返还借款的，应当按照约定或者国家有关规定支付逾期利息。","
                  法律依据：
                  中华人民共和国民法典第六百七十五条

借款人应当按照约定的期限返还借款。对借款期限没有约定或者约定不明确，依据本法第五百一十条的规定仍不能确定的，借款人可以随时返还；
贷款人可以催告借款人在合理期限内返还。

中华人民共和国民法典第六百七十八条

借款人可以在还款期限届满前向贷款人申请展期；
贷款人同意的，可以展期。

中华人民共和国民法典第六百七十六条

借款人未按照约定的期限返还借款的，应当按照约定或者国家有关规定支付逾期利息。                "
"
          问
          合伙企业债务应该怎么清偿        ","根据《中华人民共和国合伙企业法》第三十八条规定，合伙企业对其债务，应先以其全部财产进行清偿。

第三十九条规定，合伙企业不能清偿到期债务的，合伙人承担无限连带责任。

第四十条规定，合伙人由于承担无限连带责任，清偿数额超过本法第三十三条第一款规定的其亏损分担比例的，有权向其他合伙人追偿。

第四十一条规定，合伙人发生与合伙企业无关的债务，相关债权人不得以其债权抵销其对合伙企业的债务；也不得代位行使合伙人在合伙企业中的权利。","
                  法律依据：
                  《中华人民共和国合伙企业法》第三十八条

合伙企业对其债务，应先以其全部财产进行清偿。

《中华人民共和国合伙企业法》第三十九条

合伙企业不能清偿到期债务的，合伙人承担无限连带责任。

《中华人民共和国合伙企业法》第四十条

合伙人由于承担无限连带责任，清偿数额超过本法第三十三条第一款规定的其亏损分担比例的，有权向其他合伙人追偿。

《中华人民共和国合伙企业法》第四十一条

合伙人发生与合伙企业无关的债务，相关债权人不得以其债权抵销其对合伙企业的债务；
也不得代位行使合伙人在合伙企业中的权利。                "
"
          问
          子女的债务父母有责任偿还吗        ","具有完全民事行为能力的子女所产生的债务，父母没有责任偿还。限制民事行为能力或者无民事行为能力的子女所产生的债务，父母作为其监护人，就应当替子女偿还。

《民法典》第二十条规定，不满八周岁的未成年人为无民事行为能力人，由其法定代理人代理实施民事法律行为。

第二十一条规定，不能辨认自己行为的成年人为无民事行为能力人，由其法定代理人代理实施民事法律行为。

八周岁以上的未成年人不能辨认自己行为的，适用前款规定。","
                  法律依据：
                  《民法典》第二十条

不满八周岁的未成年人为无民事行为能力人，由其法定代理人代理实施民事法律行为。

第二十一条

不能辨认自己行为的成年人为无民事行为能力人，由其法定代理人代理实施民事法律行为。

八周岁以上的未成年人不能辨认自己行为的，适用前款规定。                "
"
          问
          多个债务人如何处理        ","根据《民法典》第五百一十八条规定，债务人为二人以上，债权人可以请求部分或者全部债务人履行全部债务的，为连带债务。

连带债务，由法律规定或者当事人约定。

第五百一十九条规定，连带债务人之间的份额难以确定的，视为份额相同。

实际承担债务超过自己份额的连带债务人，有权就超出部分在其他连带债务人未履行的份额范围内向其追偿，并相应地享有债权人的权利，但是不得损害债权人的利益。其他连带债务人对债权人的抗辩，可以向该债务人主张。

被追偿的连带债务人不能履行其应分担份额的，其他连带债务人应当在相应范围内按比例分担。","
                  法律依据：
                  中华人民共和国民法典第五百一十八条

债权人为二人以上，部分或者全部债权人均可以请求债务人履行债务的，为连带债权；
债务人为二人以上，债权人可以请求部分或者全部债务人履行全部债务的，为连带债务。

连带债权或者连带债务，由法律规定或者当事人约定。                "
"
          问
          借钱没写借条录音可以作为证据吗        ","借钱没写借条，录音可以作为证据。

《民事诉讼法》第六十三条规定，证据包括：

（一）当事人的陈述；

（二）书证；

（三）物证；

（四）视听资料；

（五）电子数据；

（六）证人证言；

（七）鉴定意见；

（八）勘验笔录。

证据必须查证属实，才能作为认定事实的根据。

第七十一条规定，人民法院对视听资料，应当辨别真伪，并结合本案的其他证据，审查确定能否作为认定事实的根据。","
                  法律依据：
                  《中华人民共和国民事诉讼法》第六十三条

证据包括：


（一）当事人的陈述；
（二）书证；
（三）物证；
（四）视听资料；
（五）电子数据；
（六）证人证言；
（七）鉴定意见；
（八）勘验笔录。

证据必须查证属实，才能作为认定事实的根据。

《中华人民共和国民事诉讼法》第七十一条

人民法院对视听资料，应当辨别真伪，并结合本案的其他证据，审查确定能否作为认定事实的根据。                "
"
          问
          欠钱无力偿还还会坐牢吗        ","欠钱无力偿还属于民事纠纷，通常不会坐牢。但是如果借款人在法院判决后，有能力还钱而拒不执行的，涉嫌拒不执行判决、裁定罪，需要承担相应的刑事责任。

《中华人民共和国刑法》第三百一十三条规定，对人民法院的判决、裁定有能力执行而拒不执行，情节严重的，处三年以下有期徒刑、拘役或者罚金；情节特别严重的，处三年以上七年以下有期徒刑，并处罚金。

单位犯前款罪的，对单位判处罚金，并对其直接负责的主管人员和其他直接责任人员，依照前款的规定处罚。","
                  法律依据：
                  《中华人民共和国刑法》第三百一十三条

对人民法院的判决、裁定有能力执行而拒不执行，情节严重的，处三年以下有期徒刑、拘役或者罚金；
情节特别严重的，处三年以上七年以下有期徒刑，并处罚金。

单位犯前款罪的，对单位判处罚金，并对其直接负责的主管人员和其他直接责任人员，依照前款的规定处罚。                "
"
          问
          个人借贷可以执行保证人财产吗        ","个人借贷可以执行保证人财产，但是一般保证责任中需先执行债务人的财产。

《民法典》第六百八十七条第二款规定，一般保证的保证人在主合同纠纷未经审判或者仲裁，并就债务人财产依法强制执行仍不能履行债务前，有权拒绝向债权人承担保证责任，但是有下列情形之一的除外：

（一）债务人下落不明，且无财产可供执行；

（二）人民法院已经受理债务人破产案件；

（三）债权人有证据证明债务人的财产不足以履行全部债务或者丧失履行债务能力；

（四）保证人书面表示放弃本款规定的权利。

第六百八十八条第二款规定，连带责任保证的债务人不履行到期债务或者发生当事人约定的情形时，债权人可以请求债务人履行债务，也可以请求保证人在其保证范围内承担保证责任。","
                  法律依据：
                  《民法典》第六百八十七条

当事人在保证合同中约定，债务人不能履行债务时，由保证人承担保证责任的，为一般保证。

一般保证的保证人在主合同纠纷未经审判或者仲裁，并就债务人财产依法强制执行仍不能履行债务前，有权拒绝向债权人承担保证责任，但是有下列情形之一的除外：

（一）债务人下落不明，且无财产可供执行；

（二）人民法院已经受理债务人破产案件；

（三）债权人有证据证明债务人的财产不足以履行全部债务或者丧失履行债务能力；

（四）保证人书面表示放弃本款规定的权利。                "
"
          问
          借条上没写借款日期怎么办        ","借条上没写出借时间，双方可以协商补充，也可以依据其他证据证明借款的时间。如果借条上没有写还款日期的，可以协商补充，不补充的，债权人可以催告借款人在合理期限内返还。

《民法典》第六百七十五条规定，借款人应当按照约定的期限返还借款。对借款期限没有约定或者约定不明确，依据本法第五百一十条的规定仍不能确定的，借款人可以随时返还；贷款人可以催告借款人在合理期限内返还。

第五百一十条规定，合同生效后，当事人就质量、价款或者报酬、履行地点等内容没有约定或者约定不明确的，可以协议补充；不能达成补充协议的，按照合同相关条款或者交易习惯确定。","
                  法律依据：
                  《民法典》第六百七十五条

借款人应当按照约定的期限返还借款。对借款期限没有约定或者约定不明确，依据本法第五百一十条的规定仍不能确定的，借款人可以随时返还；
贷款人可以催告借款人在合理期限内返还。

《民法典》第五百一十条

合同生效后，当事人就质量、价款或者报酬、履行地点等内容没有约定或者约定不明确的，可以协议补充；
不能达成补充协议的，按照合同相关条款或者交易习惯确定。                "
"
          问
          公司债权债务包括房产吗        ","公司债权债务不包括房产。公司房产属于公司的财产，如果公司以房产作为债务的抵押的，公司不履行到期债务或者发生约定的实现抵押权的情形，债权人有权就该房产优先受偿。

《民法典》第三百九十五条规定，债务人或者第三人有权处分的下列财产可以抵押：

（一）建筑物和其他土地附着物；

（二）建设用地使用权；

（三）海域使用权；

（四）生产设备、原材料、半成品、产品；

（五）正在建造的建筑物、船舶、航空器；

（六）交通运输工具；

（七）法律、行政法规未禁止抵押的其他财产。

抵押人可以将前款所列财产一并抵押。","
                  法律依据：
                  《民法典》第三百九十五条

债务人或者第三人有权处分的下列财产可以抵押：

（一）建筑物和其他土地附着物；

（二）建设用地使用权；

（三）海域使用权；

（四）生产设备、原材料、半成品、产品；

（五）正在建造的建筑物、船舶、航空器；

（六）交通运输工具；

（七）法律、行政法规未禁止抵押的其他财产。

抵押人可以将前款所列财产一并抵押。                "
"
          问
          欠条不是本人签字有效吗        ","欠条不是本人签字无效，但是经当事人追认后，欠条有效。

《民法典》第一百七十一条规定，行为人没有代理权、超越代理权或者代理权终止后，仍然实施代理行为，未经被代理人追认的，对被代理人不发生效力。

相对人可以催告被代理人自收到通知之日起三十日内予以追认。被代理人未作表示的，视为拒绝追认。行为人实施的行为被追认前，善意相对人有撤销的权利。撤销应当以通知的方式作出。

行为人实施的行为未被追认的，善意相对人有权请求行为人履行债务或者就其受到的损害请求行为人赔偿。但是，赔偿的范围不得超过被代理人追认时相对人所能获得的利益。

相对人知道或者应当知道行为人无权代理的，相对人和行为人按照各自的过错承担责任。","
                  法律依据：
                  《民法典》第一百七十一条

行为人没有代理权、超越代理权或者代理权终止后，仍然实施代理行为，未经被代理人追认的，对被代理人不发生效力。

相对人可以催告被代理人自收到通知之日起三十日内予以追认。被代理人未作表示的，视为拒绝追认。行为人实施的行为被追认前，善意相对人有撤销的权利。撤销应当以通知的方式作出。

行为人实施的行为未被追认的，善意相对人有权请求行为人履行债务或者就其受到的损害请求行为人赔偿。但是，赔偿的范围不得超过被代理人追认时相对人所能获得的利益。

相对人知道或者应当知道行为人无权代理的，相对人和行为人按照各自的过错承担责任。                "
