字段1,字段2,字段3
"
          问
          法人成立必须具备的条件有哪些        ","法人成立必须具备的条件有：法人应当依法成立。法人应当有自己的名称、组织机构、住所、财产或者经费。法人成立的具体条件和程序，依照法律、行政法规的规定。设立法人，法律、行政法规规定须经有关机关批准的，依照其规定。

《民法典》第五十八条规定，法人应当依法成立。

法人应当有自己的名称、组织机构、住所、财产或者经费。法人成立的具体条件和程序，依照法律、行政法规的规定。

设立法人，法律、行政法规规定须经有关机关批准的，依照其规定。

第六十四条规定，法人存续期间登记事项发生变化的，应当依法向登记机关申请变更登记。","
                  法律依据：
                  《民法典》第五十八条

法人应当依法成立。

法人应当有自己的名称、组织机构、住所、财产或者经费。法人成立的具体条件和程序，依照法律、行政法规的规定。

设立法人，法律、行政法规规定须经有关机关批准的，依照其规定。

第六十四条

法人存续期间登记事项发生变化的，应当依法向登记机关申请变更登记。                "
"
          问
          股东权中的权是否能转让合法        ","股东权中的权能转让，是合法的，可以同股不同权，也可以进行表决权委托。

《公司法》第一百零三条规定，股东出席股东大会会议，所持每一股份有一表决权。但是，公司持有的本公司股份没有表决权。

股东大会作出决议，必须经出席会议的股东所持表决权过半数通过。但是，股东大会作出修改公司章程、增加或者减少注册资本的决议，以及公司合并、分立、解散或者变更公司形式的决议，必须经出席会议的股东所持表决权的三分之二以上通过。","
                  法律依据：
                  《公司法》第一百零三条

股东出席股东大会会议，所持每一股份有一表决权。但是，公司持有的本公司股份没有表决权。

股东大会作出决议，必须经出席会议的股东所持表决权过半数通过。但是，股东大会作出修改公司章程、增加或者减少注册资本的决议，以及公司合并、分立、解散或者变更公司形式的决议，必须经出席会议的股东所持表决权的三分之二以上通过。                "
"
          问
          股权变更的理由有什么        ","股权变更有下列理由：

1、企业兼并或分立，兼并或分立后的接受方接受原投资方的股权；

2、协议转让股权；

3、投资者一方经他方投资者同意将股权质押给第三方。

《公司法》第七十一条规定，有限责任公司的股东之间可以相互转让其全部或者部分股权。

股东向股东以外的人转让股权，应当经其他股东过半数同意。股东应就其股权转让事项书面通知其他股东征求同意，其他股东自接到书面通知之日起满三十日未答复的，视为同意转让。其他股东半数以上不同意转让的，不同意的股东应当购买该转让的股权；不购买的，视为同意转让。","
                  法律依据：
                  《公司法》第七十一条

有限责任公司的股东之间可以相互转让其全部或者部分股权。

股东向股东以外的人转让股权，应当经其他股东过半数同意。股东应就其股权转让事项书面通知其他股东征求同意，其他股东自接到书面通知之日起满三十日未答复的，视为同意转让。其他股东半数以上不同意转让的，不同意的股东应当购买该转让的股权；
不购买的，视为同意转让。

经股东同意转让的股权，在同等条件下，其他股东有优先购买权。两个以上股东主张行使优先购买权的，协商确定各自的购买比例；
协商不成的，按照转让时各自的出资比例行使优先购买权。

公司章程对股权转让另有规定的，从其规定。                "
"
          问
          企业间相互担保违法吗        ","企业间相互担保不违法。公司为公司股东或者实际控制人提供担保的，必须经股东会或者股东大会决议。

《民法典》第六百八十三条规定，机关法人不得为保证人，但是经国务院批准为使用外国政府或者国际经济组织贷款进行转贷的除外。

以公益为目的的非营利法人、非法人组织不得为担保人。

《公司法》第十六条规定，公司向其他企业投资或者为他人提供担保，依照公司章程的规定，由董事会或者股东会、股东大会决议；公司章程对投资或者担保的总额及单项投资或者担保的数额有限额规定的，不得超过规定的限额。

公司为公司股东或者实际控制人提供担保的，必须经股东会或者股东大会决议。","
                  法律依据：
                  《民法典》第六百八十三条

机关法人不得为保证人，但是经国务院批准为使用外国政府或者国际经济组织贷款进行转贷的除外。

以公益为目的的非营利法人、非法人组织不得为保证人。                "
"
          问
          一人有限公司是否要设股东会        ","一人有限公司不设股东会。

《公司法》第六十一条规定，一人有限责任公司不设股东会。股东作出本法第三十七条第一款所列决定时，应当采用书面形式，并由股东签名后置备于公司。

第五十七条规定，一人有限责任公司的设立和组织机构，适用本节规定；本节没有规定的，适用本章第一节、第二节的规定。

本法所称一人有限责任公司，是指只有一个自然人股东或者一个法人股东的有限责任公司。","
                  法律依据：
                  《公司法》第六十一条

一人有限责任公司不设股东会。股东作出本法第三十七条第一款所列决定时，应当采用书面形式，并由股东签名后置备于公司。

《公司法》第五十七条

一人有限责任公司的设立和组织机构，适用本节规定；
本节没有规定的，适用本章第一节、第二节的规定。

本法所称一人有限责任公司，是指只有一个自然人股东或者一个法人股东的有限责任公司。                "
"
          问
          注销一家公司一定要股东到场吗        ","公司注销并没有规定要股东到现场。

《公司登记管理条例》第四十三条规定，公司申请注销登记，应当提交下列文件：

（一）公司清算组负责人签署的注销登记申请书；

（二）人民法院的破产裁定、解散裁判文书，公司依照《公司法》作出的决议或者决定，行政机关责令关闭或者公司被撤销的文件；

（三）股东会、股东大会、一人有限责任公司的股东、外商投资的公司董事会或者人民法院、公司批准机关备案、确认的清算报告；

（四）《企业法人营业执照》；

（五）法律、行政法规规定应当提交的其他文件。","
                  法律依据：
                  《公司登记管理条例》第四十三条

公司申请注销登记，应当提交下列文件：

（一）公司清算组负责人签署的注销登记申请书；

（二）人民法院的破产裁定、解散裁判文书，公司依照《公司法》作出的决议或者决定，行政机关责令关闭或者公司被撤销的文件；

（三）股东会、股东大会、一人有限责任公司的股东、外商投资的公司董事会或者人民法院、公司批准机关备案、确认的清算报告；

（四）《企业法人营业执照》；

（五）法律、行政法规规定应当提交的其他文件。                "
"
          问
          公司解散后清算组成员如何定        ","公司解散后清算组成员的确定：有限责任公司的清算组由股东组成，股份有限公司的清算组由董事或者股东大会确定的人员组成。

《公司法》第一百八十三条规定，公司因本法第一百八十条第(一)项、第(二)项、第(四)项、第(五)项规定而解散的，应当在解散事由出现之日起十五日内成立清算组，开始清算。有限责任公司的清算组由股东组成，股份有限公司的清算组由董事或者股东大会确定的人员组成。逾期不成立清算组进行清算的，债权人可以申请人民法院指定有关人员组成清算组进行清算。人民法院应当受理该申请，并及时组织清算组进行清算。","
                  法律依据：
                  《公司法》第一百八十三条

公司因本法第一百八十条第(一)项、第(二)项、第(四)项、第(五)项规定而解散的，应当在解散事由出现之日起十五日内成立清算组，开始清算。有限责任公司的清算组由股东组成，股份有限公司的清算组由董事或者股东大会确定的人员组成。逾期不成立清算组进行清算的，债权人可以申请人民法院指定有关人员组成清算组进行清算。人民法院应当受理该申请，并及时组织清算组进行清算。                "
"
          问
          有限责任公司清算顺序是怎么规定的        ","《企业破产法》第一百一十三条规定，有限责任公司的清算顺序：

即破产财产在优先清偿破产费用和共益债务后，依照下列顺序清偿：

（一）破产人所欠职工的工资和医疗、伤残补助、抚恤费用，所欠的应当划入职工个人账户的基本养老保险、基本医疗保险费用，以及法律、行政法规规定应当支付给职工的补偿金；

（二）破产人欠缴的除前项规定以外的社会保险费用和破产人所欠税款；

（三）普通破产债权。

破产财产不足以清偿同一顺序的清偿要求的，按照比例分配。

破产企业的董事、监事和高级管理人员的工资按照该企业职工的平均工资计算。","
                  法律依据：
                  《企业破产法》第一百一十三条

破产财产在优先清偿破产费用和共益债务后，依照下列顺序清偿：

（一）破产人所欠职工的工资和医疗、伤残补助、抚恤费用，所欠的应当划入职工个人账户的基本养老保险、基本医疗保险费用，以及法律、行政法规规定应当支付给职工的补偿金；

（二）破产人欠缴的除前项规定以外的社会保险费用和破产人所欠税款；

（三）普通破产债权。

破产财产不足以清偿同一顺序的清偿要求的，按照比例分配。

破产企业的董事、监事和高级管理人员的工资按照该企业职工的平均工资计算。                "
"
          问
          有限责任公司股东人数是什么        ","有限责任公司股东人数为二人以上五十人以下。

《公司法》第二十四条规定，有限责任公司由五十个以下股东出资设立。

第二十三条规定，设立有限责任公司，应当具备下列条件：

（一）股东符合法定人数；

（二）有符合公司章程规定的全体股东认缴的出资额；

（三）股东共同制定公司章程；

（四）有公司名称，建立符合有限责任公司要求的组织机构；

（五）有公司住所。","
                  法律依据：
                  《公司法》第二十四条

有限责任公司由五十个以下股东出资设立。

《公司法》第二十三条

设立有限责任公司，应当具备下列条件：


（一）股东符合法定人数；


（二）有符合公司章程规定的全体股东认缴的出资额；


（三）股东共同制定公司章程；


（四）有公司名称，建立符合有限责任公司要求的组织机构；


（五）有公司住所。                "
"
          问
          股东可以行使的权利有哪些        ","股东可以行使的权利有：

《公司法》第四条规定，公司股东依法享有资产收益、参与重大决策和选择管理者等权利。

第三十三条规定，股东有权查阅、复制公司章程、股东会会议记录、董事会会议决议、监事会会议决议和财务会计报告。

股东可以要求查阅公司会计账簿。股东要求查阅公司会计账簿的，应当向公司提出书面请求，说明目的。公司有合理根据认为股东查阅会计账簿有不正当目的，可能损害公司合法利益的，可以拒绝提供查阅，并应当自股东提出书面请求之日起十五日内书面答复股东并说明理由。公司拒绝提供查阅的，股东可以请求人民法院要求公司提供查阅。","
                  法律依据：
                  《公司法》第三十三条

股东有权查阅、复制公司章程、股东会会议记录、董事会会议决议、监事会会议决议和财务会计报告。

股东可以要求查阅公司会计账簿。股东要求查阅公司会计账簿的，应当向公司提出书面请求，说明目的。公司有合理根据认为股东查阅会计账簿有不正当目的，可能损害公司合法利益的，可以拒绝提供查阅，并应当自股东提出书面请求之日起十五日内书面答复股东并说明理由。公司拒绝提供查阅的，股东可以请求人民法院要求公司提供查阅。                "
"
          问
          未清算公司债务承担主体是谁        ","未清算的公司债务承担主体是有限责任公司的股东、股份有限公司的董事和控股股东。

《最高人民法院关于适用若干问题的规定(二)》第十八条规定，有限责任公司的股东、股份有限公司的董事和控股股东未在法定期限内成立清算组开始清算，导致公司财产贬值、流失、毁损或者灭失，债权人主张其在造成损失范围内对公司债务承担赔偿责任的，人民法院应依法予以支持。

有限责任公司的股东、股份有限公司的董事和控股股东因怠于履行义务，导致公司主要财产、账册、重要文件等灭失，无法进行清算，债权人主张其对公司债务承担连带清偿责任的，人民法院应依法予以支持。","
                  法律依据：
                  《最高人民法院关于适用若干问题的规定(二)》第十八条

有限责任公司的股东、股份有限公司的董事和控股股东未在法定期限内成立清算组开始清算，导致公司财产贬值、流失、毁损或者灭失，债权人主张其在造成损失范围内对公司债务承担赔偿责任的，人民法院应依法予以支持。

有限责任公司的股东、股份有限公司的董事和控股股东因怠于履行义务，导致公司主要财产、账册、重要文件等灭失，无法进行清算，债权人主张其对公司债务承担连带清偿责任的，人民法院应依法予以支持。

上述情形系实际控制人原因造成，债权人主张实际控制人对公司债务承担相应民事责任的，人民法院应依法予以支持。                "
"
          问
          公司上市时商标权应当怎么处理        ","公司改制设立其主要产品或经营业务进入股份公司时，其主要产品或经营业务所使用的商标权必须随同进入股份公司；应当在获准发行前将商标处置相关的手续办理完毕，并在招股说明书中充分披露商标权的处置情况。

《首次公开发行股票并上市管理办法》第三十条规定，发行人不得有下列影响持续盈利能力的情形：

（一）发行人的经营模式、产品或服务的品种结构已经或者将发生重大变化，并对发行人的持续盈利能力构成重大不利影响；

（二）发行人的行业地位或发行人所处行业的经营环境已经或者将发生重大变化，并对发行人的持续盈利能力构成重大不利影响；

（三）发行人在用的商标、专利、专有技术以及特许经营权等重要资产或技术的取得或者使用存在重大不利变化的风险。","
                  法律依据：
                  《首次公开发行股票并上市管理办法》第三十条

发行人不得有下列影响持续盈利能力的情形：

（一）发行人的经营模式、产品或服务的品种结构已经或者将发生重大变化，并对发行人的持续盈利能力构成重大不利影响；

（二）发行人的行业地位或发行人所处行业的经营环境已经或者将发生重大变化，并对发行人的持续盈利能力构成重大不利影响；

（三）发行人最近1个会计年度的营业收入或净利润对关联方或者存在重大不确定性的客户存在重大依赖；

（四）发行人最近1个会计年度的净利润主要来自合并财务报表范围以外的投资收益。                "
"
          问
          公司合并债权人能提出异议吗        ","公司合并，债权人能提出异议，公司应当自作出合并决议之日起十日内通知债权人，并于三十日内在报纸上公告。债权人自接到通知书之日起三十日内，未接到通知书的自公告之日起四十五日内，可以要求公司清偿债务或者提供相应的担保。

《公司法》第一百七十三条规定，公司合并，应当由合并各方签订合并协议，并编制资产负债表及财产清单。公司应当自作出合并决议之日起十日内通知债权人，并于三十日内在报纸上公告。债权人自接到通知书之日起三十日内，未接到通知书的自公告之日起四十五日内，可以要求公司清偿债务或者提供相应的担保。","
                  法律依据：
                  《公司法》第一百七十三条

公司合并，应当由合并各方签订合并协议，并编制资产负债表及财产清单。公司应当自作出合并决议之日起十日内通知债权人，并于三十日内在报纸上公告。债权人自接到通知书之日起三十日内，未接到通知书的自公告之日起四十五日内，可以要求公司清偿债务或者提供相应的担保。                "
"
          问
          申请破产期间公司是否经营        ","申请破产期间公司可以经营，破产申请受理后是否继续经营公司由管理人决定。

《中华人民共和国企业破产法》第七条规定，债务人有本法第二条规定的情形，可以向人民法院提出重整、和解或者破产清算申请。

债务人不能清偿到期债务，债权人可以向人民法院提出对债务人进行重整或者破产清算的申请。

企业法人已解散但未清算或者未清算完毕，资产不足以清偿债务的，依法负有清算责任的人应当向人民法院申请破产清算。

第二条规定，企业法人不能清偿到期债务，并且资产不足以清偿全部债务或者明显缺乏清偿能力的，依照本法规定清理债务。

企业法人有前款规定情形，或者有明显丧失清偿能力可能的，可以依照本法规定进行重整。","
                  法律依据：
                  《中华人民共和国企业破产法》第七条

债务人有本法第二条规定的情形，可以向人民法院提出重整、和解或者破产清算申请。

债务人不能清偿到期债务，债权人可以向人民法院提出对债务人进行重整或者破产清算的申请。

企业法人已解散但未清算或者未清算完毕，资产不足以清偿债务的，依法负有清算责任的人应当向人民法院申请破产清算。                "
"
          问
          挂靠股东如何才能退出        ","挂靠股东可以通过将股权转让、股权回购等方式退出。

《中华人民共和国公司法》第七十一条规定，有限责任公司的股东之间可以相互转让其全部或者部分股权。

股东向股东以外的人转让股权，应当经其他股东过半数同意。股东应就其股权转让事项书面通知其他股东征求同意，其他股东自接到书面通知之日起满三十日未答复的，视为同意转让。其他股东半数以上不同意转让的，不同意的股东应当购买该转让的股权；不购买的，视为同意转让。

经股东同意转让的股权，在同等条件下，其他股东有优先购买权。两个以上股东主张行使优先购买权的，协商确定各自的购买比例；协商不成的，按照转让时各自的出资比例行使优先购买权。

公司章程对股权转让另有规定的，从其规定。","
                  法律依据：
                  《中华人民共和国公司法》第七十一条

有限责任公司的股东之间可以相互转让其全部或者部分股权。

股东向股东以外的人转让股权，应当经其他股东过半数同意。股东应就其股权转让事项书面通知其他股东征求同意，其他股东自接到书面通知之日起满三十日未答复的，视为同意转让。其他股东半数以上不同意转让的，不同意的股东应当购买该转让的股权；不购买的，视为同意转让。

经股东同意转让的股权，在同等条件下，其他股东有优先购买权。两个以上股东主张行使优先购买权的，协商确定各自的购买比例；协商不成的，按照转让时各自的出资比例行使优先购买权。

公司章程对股权转让另有规定的，从其规定。                "
"
          问
          股份公司怎么募集设立的        ","股份公司募集设立的流程：

1、由证券公司和证券公司签成交协议；

2、银行签收款协议；

3、由证监会审批；

4、公开募股；

5、召开创立大会；

6、由公司的董事办理登记。

《中华人民共和国公司法》第七十七条规定，股份公司募集设立，是指由发起人认购公司应发行股份的一部分，其余股份向社会公开募集或者向特定对象募集而设立公司。

第七十六条规定，设立股份有限公司，应当具备下列条件：

（一）发起人符合法定人数；

（二）有符合公司章程规定的全体发起人认购的股本总额或者募集的实收股本总额；

（三）股份发行、筹办事项符合法律规定；

（四）发起人制订公司章程，采用募集方式设立的经创立大会通过；

（五）有公司名称，建立符合股份有限公司要求的组织机构；

（六）有公司住所。","
                  法律依据：
                  《中华人民共和国公司法》第七十七条

股份有限公司的设立，可以采取发起设立或者募集设立的方式。

发起设立，是指由发起人认购公司应发行的全部股份而设立公司。

募集设立，是指由发起人认购公司应发行股份的一部分，其余股份向社会公开募集或者向特定对象募集而设立公司。                "
"
          问
          公司财产不足以清偿债务怎么处理        ","公司财产不足清偿债务的情况下，应当申请宣告破产。清算组在完成编制资产负债表等工作后，对公司债权债务情况基本了解清楚了，当发现公司财产不足以清偿所有债务时，为维护债权人利益，清算组应申请进入破产程序。

根据《公司法》第一百八十七条规定，清算组在清理公司财产、编制资产负债表和财产清单后，发现公司财产不足清偿债务的，应当依法向人民法院申请宣告破产。

公司经人民法院裁定宣告破产后，清算组应当将清算事务移交给人民法院。","
                  法律依据：
                  《公司法》第一百八十七条

清算组在清理公司财产、编制资产负债表和财产清单后，发现公司财产不足清偿债务的，应当依法向人民法院申请宣告破产。

公司经人民法院裁定宣告破产后，清算组应当将清算事务移交给人民法院。                "
"
          问
          民营企业债权的融资方式有哪些        ",民营企业债权的融资方式有以下几种：1、民营企业老板的私人信用。2、企业间的商业信用。3、租赁。4、银行或其他金融机构贷款。5、从资本市场融资。6、利用外资。根据《中华人民共和国中小企业促进法》第十八条的规定，国家健全多层次资本市场体系，多渠道推动股权融资，发展并规范债券市场，促进中小企业利用多种方式直接融资。,"
                  法律依据：
                  《中华人民共和国中小企业促进法》第十八条国家健全多层次资本市场体系，多渠道推动股权融资，发展并规范债券市场，促进中小企业利用多种方式直接融资。                "
"
          问
          未实缴股权能否分到财产        ",未实缴出资的股东，在股东分红以及公司清算分配公司财产时都会受限，但是公司章程中另有约定的，可以按照约定分给财产。《中华人民共和国公司法》第三十四条规定，股东按照实缴的出资比例分取红利；公司新增资本时，股东有权优先按照实缴的出资比例认缴出资。但是，全体股东约定不按照出资比例分取红利或者不按照出资比例优先认缴出资的除外。第二十七条规定，股东可以用货币出资，也可以用实物、知识产权、土地使用权等可以用货币估价并可以依法转让的非货币财产作价出资；但是，法律、行政法规规定不得作为出资的财产除外。对作为出资的非货币财产应当评估作价，核实财产，不得高估或者低估作价。法律、行政法规对评估作价有规定的，从其规定。,"
                  法律依据：
                  《中华人民共和国公司法》第三十四条股东按照实缴的出资比例分取红利；公司新增资本时，股东有权优先按照实缴的出资比例认缴出资。但是，全体股东约定不按照出资比例分取红利或者不按照出资比例优先认缴出资的除外。                "
"
          问
          公司设立时发行股票的程序        ",公司设立时发行股票的程序：1、向有关部门提出募集股份申请；2、募股申请获得核准后，发起人应在规定期限内向社会公告招股说明书；3、签订承销协议和代收股协议；4、招认股份，缴纳股款。《中华人民共和国公司法》第八十五条规定，发起人向社会公开募集股份，必须公告招股说明书，并制作认股书。认股书应当载明本法第八十六条所列事项，由认股人填写认购金额、股数、住所，并签名、盖章。认股人按照所认购股数缴纳股款。第八十七条规定，发起人向社会公开募集股份，应当由依法设立的证券公司承销，签订承销协议。,"
                  法律依据：
                  《中华人民共和国公司法》第八十五条发起人向社会公开募集股份，必须公告招股说明书，并制作认股书。认股书应当载明本法第八十六条所列事项，由认股人填写认购股数、金额、住所，并签名、盖章。认股人按照所认购股数缴纳股款。第八十七条发起人向社会公开募集股份，应当由依法设立的证券公司承销，签订承销协议。                "
"
          问
          股东代表诉讼和代位诉讼的区别        ",股东代表诉讼和代位诉讼的区别:1、股东代表诉讼，是指公司的董事、监事、高级管理人员等主体执行公司职务时违反法律、行政法规或者公司章程的规定，给公司造成损失，应当承担赔偿责任时，公司怠于追究其责任，符合法律规定条件的股东可以自己的名义代表公司提起诉讼。2、股东直接诉讼，是指股东为自己的利益，以自己的名义向公司或者其他权利侵害人提起诉讼，该诉讼结果直接归属于股东。《中华人民共和国公司法》第一百五十二条规定，董事、高级管理人员违反法律、行政法规或者公司章程的规定，损害股东利益的，股东可以向人民法院提起诉讼。,"
                  法律依据：
                  《中华人民共和国公司法》第一百五十一条董事、高级管理人员有本法第一百四十九条规定的情形的，有限责任公司的股东、股份有限公司连续一百八十日以上单独或者合计持有公司百分之一以上股份的股东，可以书面请求监事会或者不设监事会的有限责任公司的监事向人民法院提起诉讼；监事有本法第一百四十九条规定的情形的，前述股东可以书面请求董事会或者不设董事会的有限责任公司的执行董事向人民法院提起诉讼。                "
"
          问
          什么是股权投资        ",股权投资是指为参与或控制某一公司的经营活动而投资购买其股权的行为。《中华人民共和国公司法》第二十七条规定，股东可以用货币出资，也可以用实物、知识产权、土地使用权等可以用货币估价并可以依法转让的非货币财产作价出资；但是，法律、行政法规规定不得作为出资的财产除外。对作为出资的非货币财产应当评估作价，核实财产，不得高估或者低估作价。法律、行政法规对评估作价有规定的，从其规定。第二十八条规定，股东应当按期足额缴纳公司章程中规定的各自所认缴的出资额。股东以货币出资的，应当将货币出资足额存入有限责任公司在银行开设的账户；以非货币财产出资的，应当依法办理其财产权的转移手续。,"
                  法律依据：
                  《中华人民共和国公司法》第二十七条股东可以用货币出资，也可以用实物、知识产权、土地使用权等可以用货币估价并可以依法转让的非货币财产作价出资；但是，法律、行政法规规定不得作为出资的财产除外。对作为出资的非货币财产应当评估作价，核实财产，不得高估或者低估作价。法律、行政法规对评估作价有规定的，从其规定。                "
"
          问
          装修合同书如何写        ",装修合同中应当写明以下条款：装修范围、装修工期、中间交工工程的开工和竣工时间、装修质量、装修价格、装修完工交付时间、装修材料和设备供应责任、价款的结算、装修质量保证期、双方相互协作等。根据《中华人民共和国民法典》第四百六十九条规定，当事人订立合同，可以采用书面形式、口头形式或者其他形式。书面形式是合同书、信件、电报、电传、传真等可以有形地表现所载内容的形式。以电子数据交换、电子邮件等方式能够有形地表现所载内容，并可以随时调取查用的数据电文，视为书面形式。,"
                  法律依据：
                  《中华人民共和国民法典》第四百六十九条当事人订立合同，可以采用书面形式、口头形式或者其他形式。书面形式是合同书、信件、电报、电传、传真等可以有形地表现所载内容的形式。以电子数据交换、电子邮件等方式能够有形地表现所载内容，并可以随时调取查用的数据电文，视为书面形式。                "
"
          问
          购房合同纠纷找哪些部门        ",购房合同纠纷找哪些部门应根据具体情况确定：1、若属于一手房可以寻找建设局，消协等部门；2、若属于房屋的问题或合同本身的问题，可以找开发商或者消费者协会；3、若属于因合同内容与形式之外的原因产生的纠纷，可以找当地规划委员会，房管局，工商管理等政府部门解决。根据《最高人民法院关于审理商品房买卖合同纠纷案件适用法律若干问题的解释》第十条规定，因房屋质量问题严重影响正常居住使用，买受人请求解除合同和赔偿损失的，应予支持。交付使用的房屋存在质量问题，在保修期内，出卖人应当承担修复责任；出卖人拒绝修复或者在合理期限内拖延修复的，买受人可以自行或者委托他人修复。修复费用及修复期间造成的其他损失由出卖人承担。,"
                  法律依据：
                  《最高人民法院关于审理商品房买卖合同纠纷案件适用法律若干问题的解释》第十条

因房屋质量问题严重影响正常居住使用，买受人请求解除合同和赔偿损失的，应予支持。

交付使用的房屋存在质量问题，在保修期内，出卖人应当承担修复责任；
出卖人拒绝修复或者在合理期限内拖延修复的，买受人可以自行或者委托他人修复。修复费用及修复期间造成的其他损失由出卖人承担。                "
"
          问
          合同上只盖公章有法律效力吗        ",依照我国法律规定，公司公章与法定代表人的签字具有同等的法律效力，只要是法定代表人加盖，出于公司真实意思表示的，合同上只盖公章没有签名，也是有效的。根据《中华人民共和国民法典》第四百九十条规定，当事人采用合同书形式订立合同的，自当事人均签名、盖章或者按指印时合同成立。在签名、盖章或者按指印之前，当事人一方已经履行主要义务，对方接受的，该合同成立。法律、行政法规规定或者当事人约定合同应当采用书面形式订立，当事人未采用书面形式但是一方已经履行主要义务，对方接受时，该合同成立。,"
                  法律依据：
                  《中华人民共和国民法典》第四百九十条当事人采用合同书形式订立合同的，自当事人均签名、盖章或者按指印时合同成立。在签名、盖章或者按指印之前，当事人一方已经履行主要义务，对方接受时，该合同成立。法律、行政法规规定或者当事人约定合同应当采用书面形式订立，当事人未采用书面形式但是一方已经履行主要义务，对方接受时，该合同成立。                "
"
          问
          投资合同需要注意什么        ",投资合同需要注意的事项有：出资比例；议事规则，约定重大问题如何进行讨论；职责细节；退出机制，约定在何种情况下合伙人可以退出，退出的时候如何计算资本；合伙人的主体资格审查；经营项目计划利益分配和责任承担；经营项目该如何分阶段推进等。根据《中华人民共和国民法典》第四百七十条规定，合同的内容由当事人约定，一般包括下列条款：(一)当事人的姓名或者名称和住所；(二)标的；(三)数量；(四)质量；(五)价款或者报酬；(六)履行期限、地点和方式；(七)违约责任；(八)解决争议的方法。,"
                  法律依据：
                  《中华人民共和国民法典》第四百七十条

合同的内容由当事人约定，一般包括下列条款：


(一)当事人的姓名或者名称和住所；
(二)标的；
(三)数量；
(四)质量；
(五)价款或者报酬；
(六)履行期限、地点和方式；
(七)违约责任；
(八)解决争议的方法。                "
"
          问
          有限公司自行清算的具体程序有什么        ",有限公司自行清算的具体程序：1、成立清算组，清理公司财产、编制资产负债表和财产清单；2、制定清算方案并报确认；3、制作清算报告；4、办理注销登记，进行公告。《公司法》第一百八十八条规定，公司清算结束后，清算组应当制作清算报告，报股东会、股东大会或者人民法院确认，并报送公司登记机关，申请注销公司登记，公告公司终止。《公司登记管理条例》第四十三条第一款规定，公司申请注销登记，应当提交下列文件：（一）公司清算组负责人签署的注销登记申请书；（二）人民法院的破产裁定、解散裁判文书，公司依照《公司法》作出的决议或者决定，行政机关责令关闭或者公司被撤销的文件；（三）股东会、股东大会、一人有限责任公司的股东、外商投资的公司董事会或者人民法院、公司批准机关备案、确认的清算报告；（四）《企业法人营业执照》。,"
                  法律依据：
                  《公司法》第一百八十八条公司清算结束后，清算组应当制作清算报告，报股东会、股东大会或者人民法院确认，并报送公司登记机关，申请注销公司登记，公告公司终止。《公司登记管理条例》第四十三条公司申请注销登记，应当提交下列文件：（一）公司清算组负责人签署的注销登记申请书；（二）人民法院的破产裁定、解散裁判文书，公司依照《公司法》作出的决议或者决定，行政机关责令关闭或者公司被撤销的文件；（三）股东会、股东大会、一人有限责任公司的股东、外商投资的公司董事会或者人民法院、公司批准机关备案、确认的清算报告。                "
"
          问
          遇到商业车险赔付同等责任的情况怎么办        ",遇到商业车险赔付同等责任的情况，机动车之间按五五分的责任赔偿损失，机动车与非机动车或行人的，按四六分的责任赔偿损失。发生交通事故，赔偿问题先由交强险赔偿，再由商业险赔偿，最后不足的由驾驶人赔偿。《机动车交通事故责任强制保险条例》第二十一条规定，被保险机动车发生道路交通事故造成本车人员、被保险人以外的受害人人身伤亡、财产损失的，由保险公司依法在机动车交通事故责任强制保险责任限额范围内予以赔偿。道路交通事故的损失是由受害人故意造成的，保险公司不予赔偿。以上是我对这个问题的解答，谢谢大家。,"
                  法律依据：
                  《机动车交通事故责任强制保险条例》第二十一条被保险机动车发生道路交通事故造成本车人员、被保险人以外的受害人人身伤亡、财产损失的，由保险公司依法在机动车交通事故责任强制保险责任限额范围内予以赔偿。道路交通事故的损失是由受害人故意造成的，保险公司不予赔偿。                "
"
          问
          公司形式有哪些        ","公司的形式有有限责任公司和股份有限公司两种。有限责任公司中股东是认缴出资额，而股份有限公司中股东是认购股份。而有限责任公司还包括一人有限责任公司的形式。

《中华人民共和国公司法》第三条规定，公司是企业法人，有独立的法人财产，享有法人财产权。公司以其全部财产对公司的债务承担责任。

有限责任公司的股东以其认缴的出资额为限对公司承担责任；股份有限公司的股东以其认购的股份为限对公司承担责任。","
                  法律依据：
                  《中华人民共和国公司法》第二条

本法所称公司是指依照本法在中国境内设立的有限责任公司和股份有限公司。

《中华人民共和国公司法》第三条

公司是企业法人，有独立的法人财产，享有法人财产权。公司以其全部财产对公司的债务承担责任。

有限责任公司的股东以其认缴的出资额为限对公司承担责任；
股份有限公司的股东以其认购的股份为限对公司承担责任。                "
