字段1,字段2,字段3
"
          问
          产品广告侵权怎么处罚        ",根据《著作权法》第五十三条的规定，产品广告侵权如果损害了公共利益，由主管著作权的部门责令停止侵权行为，予以警告，没收违法所得，没收、无害化销毁处理侵权复制品以及主要用于制作侵权复制品的材料、工具、设备等，违法经营额五万元以上的，可以并处违法经营额一倍以上五倍以下的罚款；没有违法经营额、违法经营额难以计算或者不足五万元的，可以并处二十五万元以下的罚款；构成犯罪的，依法追究刑事责任。,"
                  法律依据：
                  《著作权法》第五十三条

有下列侵权行为的，应当根据情况，承担本法第五十二条规定的民事责任；
侵权行为同时损害公共利益的，由主管著作权的部门责令停止侵权行为，予以警告，没收违法所得，没收、无害化销毁处理侵权复制品以及主要用于制作侵权复制品的材料、工具、设备等，违法经营额五万元以上的，可以并处违法经营额一倍以上五倍以下的罚款；
没有违法经营额、违法经营额难以计算或者不足五万元的，可以并处二十五万元以下的罚款；
构成犯罪的，依法追究刑事责任：


（一）未经著作权人许可，复制、发行、表演、放映、广播、汇编、通过信息网络向公众传播其作品的，本法另有规定的除外。                "
"
          问
          外观专利侵权会受到什么处罚        ","根据《专利法》第六十八条的规定，外观专利侵权如果属于假冒专利的行为，会受到的处罚为：责令改正并予公告，没收违法所得，可以处违法所得五倍以下的罚款；没有违法所得或者违法所得在五万元以下的，可以处二十五万元以下的罚款；构成犯罪的，依法追究刑事责任。

《专利法》第十一条第二款规定，外观设计专利权被授予后，任何单位或者个人未经专利权人许可，都不得实施其专利，即不得为生产经营目的制造、许诺销售、销售、进口其外观设计专利产品。","
                  法律依据：
                  中华人民共和国专利法第十一条

外观设计专利权被授予后，任何单位或者个人未经专利权人许可，都不得实施其专利，即不得为生产经营目的制造、许诺销售、销售、进口其外观设计专利产品。

中华人民共和国专利法第六十八条

假冒专利的，除依法承担民事责任外，由负责专利执法的部门责令改正并予公告，没收违法所得，可以处违法所得五倍以下的罚款；
没有违法所得或者违法所得在五万元以下的，可以处二十五万元以下的罚款；
构成犯罪的，依法追究刑事责任。                "
"
          问
          图片不盈利算不算侵权        ","使用他人拍摄的图片在不盈利的情形下，如果未注明来源或者作者，或者作者明确已经明确表明禁止转载的，也会构成侵权。具体案件中是否构成侵权，应当根据案件的实际情况确定。

根据《著作权法》第五十二条的规定，存在未经著作权人许可，发表其作品、未经合作作者许可，将与他人合作创作的作品当作自己单独创作的作品发表、没有参加创作，为谋取个人名利，在他人作品上署名等侵权行为，应当根据情况，承担停止侵害、消除影响、赔礼道歉、赔偿损失等民事责任。","
                  法律依据：
                  《著作权法》第五十二条

有下列侵权行为的，应当根据情况，承担停止侵害、消除影响、赔礼道歉、赔偿损失等民事责任：


（一）未经著作权人许可，发表其作品的；


（二）未经合作作者许可，将与他人合作创作的作品当作自己单独创作的作品发表的；


（三）没有参加创作，为谋取个人名利，在他人作品上署名的；


（四）歪曲、篡改他人作品的；


（五）剽窃他人作品的；


（六）未经著作权人许可，以展览、摄制视听作品的方法使用作品，或者以改编、翻译、注释等方式使用作品的，本法另有规定的除外。                "
"
          问
          侵犯知识产权的诉讼时效是多久        ","侵犯知识产权的诉讼时效是三年。

《最高人民法院关于审理著作权民事纠纷案件适用法律若干问题的解释》第二十七条规定，侵害著作权的诉讼时效为三年，自著作权人知道或者应当知道权利受到损害以及义务人之日起计算。权利人超过三年起诉的，如果侵权行为在起诉时仍在继续，在该著作权保护期内，人民法院应当判决被告停止侵权行为；侵权损害赔偿数额应当自权利人向人民法院起诉之日起向前推算三年计算。","
                  法律依据：
                  《最高人民法院关于审理著作权民事纠纷案件适用法律若干问题的解释》第二十七条

侵害著作权的诉讼时效为三年，自著作权人知道或者应当知道权利受到损害以及义务人之日起计算。权利人超过三年起诉的，如果侵权行为在起诉时仍在持续，在该著作权保护期内，人民法院应当判决被告停止侵权行为；侵权损害赔偿数额应当自权利人向人民法院起诉之日起向前推算三年计算。                "
"
          问
          口诉作品是著作权吗        ","口诉作品是享有著作权。

根据《著作权法》第二条第一款的规定，中国公民、法人或者非法人组织的作品，不论是否发表，依照本法享有著作权。

第三条规定，本法所称的作品，是指文学、艺术和科学领域内具有独创性并能以一定形式表现的智力成果，包括：

（一）文字作品；

（二）口述作品；

（三）音乐、戏剧、曲艺、舞蹈、杂技艺术作品；

（四）美术、建筑作品；

（五）摄影作品；

（六）视听作品；

（七）工程设计图、产品设计图、地图、示意图等图形作品和模型作品；

（八）计算机软件；

（九）符合作品特征的其他智力成果。","
                  法律依据：
                  《著作权法》第二条第一款

中国公民、法人或者非法人组织的作品，不论是否发表，依照本法享有著作权。

第三条

本法所称的作品，是指文学、艺术和科学领域内具有独创性并能以一定形式表现的智力成果，包括：

（一）文字作品；（二）口述作品；（三）音乐、戏剧、曲艺、舞蹈、杂技艺术作品；（四）美术、建筑作品；（五）摄影作品；（六）视听作品；（七）工程设计图、产品设计图、地图、示意图等图形作品和模型作品；（八）计算机软件；（九）符合作品特征的其他智力成果。                "
"
          问
          使用专利产品需要授权吗        ","使用他人的专利产品需要授权。

根据《专利法》第十二条的规定，任何单位或者个人实施他人专利的，应当与专利权人订立实施许可合同，向专利权人支付专利许可使用费。被许可人无权允许合同规定以外的任何单位或者个人实施该专利。

《民法典》第八百六十二条第二款规定，技术许可合同是合法拥有技术的权利人，将现有特定的专利、技术秘密的相关权利许可他人实施、使用所订立的合同。","
                  法律依据：
                  《专利法》第十二条

任何单位或者个人实施他人专利的，应当与专利权人订立实施许可合同，向专利权人支付专利使用费。被许可人无权允许合同规定以外的任何单位或者个人实施该专利。

《民法典》第八百六十二条第二款

技术许可合同是合法拥有技术的权利人，将现有特定的专利、技术秘密的相关权利许可他人实施、使用所订立的合同。                "
"
          问
          侵犯著作权的判断是怎样的        ","侵犯著作权，可以根据是否符合下列条件判断：

1、被侵害的著作权属于著作权法保护的范围；

2、违法行为致使他人的著作权受到损害；

3、损害行为与损害结果之间存在因果关系；

4、行为人主观存在过错。

根据《著作权法》第五十二条的规定，存在未经著作权人许可，发表其作品、未经合作作者许可，将与他人合作创作的作品当作自己单独创作的作品发表、没有参加创作，为谋取个人名利，在他人作品上署名等侵权行为，应当根据情况，承担停止侵害、消除影响、赔礼道歉、赔偿损失等民事责任。","
                  法律依据：
                  中华人民共和国著作权法第五十二条

有下列侵权行为的，应当根据情况，承担停止侵害、消除影响、赔礼道歉、赔偿损失等民事责任：


（一）未经著作权人许可，发表其作品的；


（二）未经合作作者许可，将与他人合作创作的作品当作自己单独创作的作品发表的；


（三）没有参加创作，为谋取个人名利，在他人作品上署名的；


（四）歪曲、篡改他人作品的；


（五）剽窃他人作品的；


（六）未经著作权人许可，以展览、摄制视听作品的方法使用作品，或者以改编、翻译、注释等方式使用作品的，本法另有规定的除外。                "
"
          问
          商标差一个字算侵权吗        ","商标差一个字，是否构成侵权需要根据法律规定并结合具体的实际情况确定。

根据《商标法》第五十七条第（二）项未经商标注册人的许可，在同一种商品上使用与其注册商标近似的商标，或者在类似商品上使用与其注册商标相同或者近似的商标，容易导致混淆的，属于侵犯商标权的行为。因此，商标差一个字是否构成侵权的判断标准是是否会引起市场混淆。建议咨询知识产权专业律师进行评估判断","
                  法律依据：
                  商标法第五十七条

有下列行为之一的，均属侵犯注册商标专用权：


（一）未经商标注册人的许可，在同一种商品上使用与其注册商标相同的商标的；


（二）未经商标注册人的许可，在同一种商品上使用与其注册商标近似的商标，或者在类似商品上使用与其注册商标相同或者近似的商标，容易导致混淆的；


（三）销售侵犯注册商标专用权的商品的；


（四）伪造、擅自制造他人注册商标标识或者销售伪造、擅自制造的注册商标标识的。                "
"
          问
          商标到期怎么办        ","商标到期可以申请续展，我国注册商标有效期为十年，十年期满，注册人可以在期满前十二个月内申请续展。如注册人错过了续展期，在商标到期前十二个月内未提出续展申请，法律还给了注册人六个月的宽展期，注册人可以在注册商标到期后六个月内申请续展。

相关法条《商标法》第四十条第一款，注册商标有效期满，需要继续使用的，商标注册人应当在期满前十二个月内按照规定办理续展手续；在此期间未能办理的，可以给予六个月的宽展期。每次续展注册的有效期为十年，自该商标上一届有效期满次日起计算。期满未办理续展手续的，注销其注册商标。","
                  法律依据：
                  《商标法》第四十条第一款

注册商标有效期满，需要继续使用的，商标注册人应当在期满前十二个月内按照规定办理续展手续；在此期间未能办理的，可以给予六个月的宽展期。每次续展注册的有效期为十年，自该商标上一届有效期满次日起计算。期满未办理续展手续的，注销其注册商标。

《商标法实施条例》第三十三条

注册商标需要续展注册的，应当向商标局提交商标续展注册申请书。商标局核准商标注册续展申请的，发给相应证明并予以公告。                "
"
          问
          模仿他人网站首页属不属于犯法        ","模仿他人网站首页一般不犯法。如果抄袭他人网站，使用他人网站以及注册的商标，或者擅自使用他人享有著作权的照片则属于侵权行为。

根据《著作权法》第二十六条的规定，使用他人作品应当同著作权人订立许可使用合同，本法规定可以不经许可的除外。

许可使用合同包括下列主要内容：

（一）许可使用的权利种类；

（二）许可使用的权利是专有使用权或者非专有使用权；

（三）许可使用的地域范围、期间；

（四）付酬标准和办法；

（五）违约责任；

（六）双方认为需要约定的其他内容。","
                  法律依据：
                  《著作权法》第二十六条

使用他人作品应当同著作权人订立许可使用合同，本法规定可以不经许可的除外。

许可使用合同包括下列主要内容：

（一）许可使用的权利种类；

（二）许可使用的权利是专有使用权或者非专有使用权；

（三）许可使用的地域范围、期间；

（四）付酬标准和办法；

（五）违约责任；

（六）双方认为需要约定的其他内容。                "
"
          问
          哪些属于商业秘密        ","商业秘密的概念规定在《反不正当竞争法》第九条第四款，本法所称的商业秘密，是指不为公众所知悉、具有商业价值并经权利人采取相应保密措施的技术信息、经营信息等商业信息。据此可以归纳商业秘密的保护范围包括：

1、符合《反不正当竞争法》规定的技术信息；

2、符合《反不正当竞争法》规定的经营信息。","
                  法律依据：
                  《反不正当竞争法》第九条第二款至第四款

经营者以外的其他自然人、法人和非法人组织实施前款所列违法行为的，视为侵犯商业秘密。

第三人明知或者应知商业秘密权利人的员工、前员工或者其他单位、个人实施本条第一款所列违法行为，仍获取、披露、使用或者允许他人使用该商业秘密的，视为侵犯商业秘密。

本法所称的商业秘密，是指不为公众所知悉、具有商业价值并经权利人采取相应保密措施的技术信息、经营信息等商业信息。                "
"
          问
          被抢注商标的农产品该如何维权        ","商标被抢注如何维权？《商标法》第三十二条规定，申请商标注册不得损害他人现有的在先权利，也不得以不正当手段抢先注册他人已经使用并有一定影响的商标。

对于恶意抢注商标的行为，权利人可以在商标公告期内提出商标异议，商标主管机关查证属实，该商标不予核准注册；如果权利人错过了商标公告期，未提出商标异议的，可以在商标核准注册之日后五年内对该商标提出无效宣告，商标主管机关查证属实，宣告该商标无效。","
                  法律依据：
                  《商标法》第三十二条

申请商标注册不得损害他人现有的在先权利，也不得以不正当手段抢先注册他人已经使用并有一定影响的商标。

第四十五条第一款

已经注册的商标，违反本法第十三条第二款和第三款、第十五条、第十六条第一款、第三十条、第三十一条、第三十二条规定的，自商标注册之日起五年内，在先权利人或者利害关系人可以请求商标评审委员会宣告该注册商标无效。对恶意注册的，驰名商标所有人不受五年的时间限制。                "
"
          问
          商标公告后多久拿证        ","商标初审公告后三个月届满，如无人提出商标异议，商标即核准注册。但商标证书的排版、印刷、邮寄需要一定的时间，一般在公告期满后两个月内能拿到商标注册证书。

根据《商标法》第三十三条的规定，对初步审定公告的商标，自公告之日起三个月内，在先权利人、利害关系人认为违反本法第十三条第二款和第三款、第十五条、第十六条第一款、第三十条、第三十一条、第三十二条规定的，或者任何人认为违反本法第四条、第十条、第十一条、第十二条、第十九条第四款规定的，可以向商标局提出异议。公告期满无异议的，予以核准注册，发给商标注册证，并予公告。","
                  法律依据：
                  《商标法》第三十三条

对初步审定公告的商标，自公告之日起三个月内，在先权利人、利害关系人认为违反本法第十三条第二款和第三款、第十五条、第十六条第一款、第三十条、第三十一条、第三十二条规定的，或者任何人认为违反本法第四条、第十条、第十一条、第十二条、第十九条第四款规定的，可以向商标局提出异议。公告期满无异议的，予以核准注册，发给商标注册证，并予公告。                "
"
          问
          版权侵权法律责任有哪些        ","版权侵权法律责任如下：

1、民事责任，包括停止侵权、消除影响、赔礼道歉、赔偿损失等；

2、行政责任，损害公共利益的，由主管著作权的部门责令停止侵权行为，予以警告，可以并处罚款；

3、刑事责任，构成刑事犯罪，依法受到刑事处罚。

《民法典》第一百七十九条规定，承担民事责任的方式主要有：

（一）停止侵害；

（二）排除妨碍；

（三）消除危险；

（四）返还财产；

（五）恢复原状；

（六）修整、重作、更换；

（七）继续履行；

（八）赔偿损失；

（九）支付违约金；

（十）消除影响、恢复名誉；

（十一）赔礼道歉。","
                  法律依据：
                  《民法典》第一百七十九条

承担民事责任的方式主要有：

（一）停止侵害；（二）排除妨碍；（三）消除危险；（四）返还财产；（五）恢复原状；（六）修理、重作、更换；（七）继续履行；（八）赔偿损失；（九）支付违约金；（十）消除影响、恢复名誉；（十一）赔礼道歉。                "
"
          问
          商标过期了可以续吗        ","商标过期可以申请续展，我国注册商标有效期为十年，十年期满，注册人可以在期满前十二个月内申请续展。如果注册人错过了续展期，在注册商标到期前十二个月内未提出续展申请，法律还给了注册人六个月的宽展期，注册人可以在注册商标期满后六个月内申请续展。

相关法条《商标法》第四十条第一款，注册商标有效期满，需要继续使用的，商标注册人应当在期满前十二个月内按照规定办理续展手续；在此期间未能办理的，可以给予六个月的宽展期。每次续展注册的有效期为十年，自该商标上一届有效期满次日起计算。期满未办理续展手续的，注销其注册商标。","
                  法律依据：
                  《商标法》第四十条

注册商标有效期满，需要继续使用的，商标注册人应当在期满前十二个月内按照规定办理续展手续；
在此期间未能办理的，可以给予六个月的宽展期。每次续展注册的有效期为十年，自该商标上一届有效期满次日起计算。期满未办理续展手续的，注销其注册商标。

《商标法实施条例》第三十三条

注册商标需要续展注册的，应当向商标局提交商标续展注册申请书。商标局核准商标注册续展申请的，发给相应证明并予以公告。                "
"
          问
          商标侵权收到律师函怎么办        ","商标侵权收到律师函，如果确属于侵权行为，可以尝试与权利人协商赔偿，且立即停止侵权行为。如果无法辨别自己的行为是否属于侵权，可以委托律师处理。

《商标法》第六十一条规定，对侵犯注册商标专用权的行为，工商行政管理部门有权依法查处；涉嫌犯罪的，应当及时移送司法机关处理。

《民法典》第一千一百六十七条规定，侵权行为危及他人人身安全、财产安全的，被侵权人有权请求侵权人承担停止侵权、排除妨碍、消除危险等侵权责任。","
                  法律依据：
                  《商标法》第六十一条

对侵犯注册商标专用权的行为，工商行政管理部门有权依法查处；涉嫌犯罪的，应当及时移送司法机关依法处理。

《民法典》第一千一百六十七条

侵权行为危及他人人身、财产安全的，被侵权人有权请求侵权人承担停止侵害、排除妨碍、消除危险等侵权责任。                "
"
          问
          商标驳回复审的时间是什么时候        ","根据《商标法》第三十四条的规定，商标驳回申请复审的时间为自收到通知之日起十五日以内。

《商标法实施条例》第二十一条规定，商标局对受理的商标注册申请，依照商标法及本条例的有关规定进行审查，对符合规定或者在部分指定商品上使用商标的注册申请符合规定的，予以初步审定，并予以公告；对不符合规定或者在部分指定商品上使用商标的注册申请不符合规定的，予以驳回或者驳回在部分指定商品上使用商标的注册申请，书面通知申请人并说明理由。

第五十二条第一款规定，商标评审委员会审理不服商标局驳回商标注册申请决定的复审案件，应当针对商标局的驳回决定和申请人申请复审的理由、事实、请求及评审时的事实状态进行审理。","
                  法律依据：
                  《商标法》第三十四条

对驳回申请、不予公告的商标，商标局应当书面通知商标注册申请人。商标注册申请人不服的，可以自收到通知之日起十五日内向商标评审委员会申请复审。商标评审委员会应当自收到申请之日起九个月内做出决定，并书面通知申请人。有特殊情况需要延长的，经国务院工商行政管理部门批准，可以延长三个月。当事人对商标评审委员会的决定不服的，可以自收到通知之日起三十日内向人民法院起诉。

《商标法实施条例》第二十一条

商标局对受理的商标注册申请，依照商标法及本条例的有关规定进行审查，对符合规定或者在部分指定商品上使用商标的注册申请符合规定的，予以初步审定，并予以公告。                "
"
          问
          商标驳回复审需要多久时间        ","根据《商标法》第三十四条的规定，商标驳回复审需要的时间一般为九个月以内。有特殊情况需要延长的，经国务院工商行政管理部门批准，可以延长三个月。

《商标法实施条例》第五十二条第一款规定，商标评审委员会审理不服商标局驳回商标注册申请决定的复审案件，应当针对商标局的驳回决定和申请人申请复审的事实、理由、请求及评审时的事实状态进行审理。

第五十七条第一款规定，申请商标评审，应当向商标评审委员会提交申请书，并按照对方当事人的数量提交相应份数的副本；基于商标局的决定书申请复审的，还应当同时附送商标局的决定书副本。","
                  法律依据：
                  《商标法》第三十四条

对驳回申请、不予公告的商标，商标局应当书面通知商标注册申请人。商标注册申请人不服的，可以自收到通知之日起十五日内向商标评审委员会申请复审。商标评审委员会应当自收到申请之日起九个月内做出决定，并书面通知申请人。有特殊情况需要延长的，经国务院工商行政管理部门批准，可以延长三个月。当事人对商标评审委员会的决定不服的，可以自收到通知之日起三十日内向人民法院起诉。                "
"
          问
          抢注商标是否合法        ","恶意抢注商标行为是违法行为。

我国《商标法》第三十二条明文规定，申请注册商标不得以不正当手段抢先注册他人已经使用并有一定影响的商标。

对于恶意抢注商标的行为，权利人可以在商标公告期内提出商标异议，商标主管机关查证属实，该商标不予核准注册；如果权利人错过了商标公告期，未提出商标异议的，可以在商标核准注册之后五年内对该商标提出无效宣告，商标主管机关查证属实，宣告该商标无效。","
                  法律依据：
                  《商标法》第三十二条

申请商标注册不得损害他人现有的在先权利，也不得以不正当手段抢先注册他人已经使用并有一定影响的商标。

第四十五条第一款

已经注册的商标，违反本法第十三条第二款和第三款、第十五条、第十六条第一款、第三十条、第三十一条、第三十二条规定的，自商标注册之日起五年内，在先权利人或者利害关系人可以请求商标评审委员会宣告该注册商标无效。对恶意注册的，驰名商标所有人不受五年的时间限制。

第六十一条

对侵犯注册商标专用权的行为，工商行政管理部门有权依法查处；涉嫌犯罪的，应当及时移送司法机关依法处理。                "
"
          问
          申请实用新型专利要多久        ","申请实用新型专利一般需要五到八个月的时间。

根据《专利法》第二十六条第一款的规定，申请发明或者实用新型专利的，应当提交请求书、说明书及其摘要和权利要求书等文件。

第四十条规定，实用新型和外观设计专利申请经初步审查没有发现驳回理由的，由国务院专利行政部门作出授予实用新型专利权或者外观设计专利权的决定，发给相应的专利证书，同时予以登记和公告。实用新型专利权和外观设计专利权自公告之日起生效。","
                  法律依据：
                  中华人民共和国专利法第二十六条

申请发明或者实用新型专利的，应当提交请求书、说明书及其摘要和权利要求书等文件。

中华人民共和国专利法第四十条

实用新型和外观设计专利申请经初步审查没有发现驳回理由的，由国务院专利行政部门作出授予实用新型专利权或者外观设计专利权的决定，发给相应的专利证书，同时予以登记和公告。实用新型专利权和外观设计专利权自公告之日起生效。                "
"
          问
          发明的专利权的有效期限        ","发明专利权的有效期限是二十年。

根据《专利法》第四十二条第一款、第二款的规定，发明专利权的期限为二十年，实用新型专利权的期限为十年，外观设计专利权的期限为十五年，均自申请之日起计算。

自发明专利申请日起满四年，且自实质审查请求之日起满三年后授予发明专利权的，国务院专利行政部门应专利权人的请求，就发明专利在授权过程中的不合理延迟给予专利权期限补偿，但由申请人引起的不合理延迟除外。","
                  法律依据：
                  《专利法》第四十二条第一款、第二款

发明专利权的期限为二十年，实用新型专利权的期限为十年，外观设计专利权的期限为十五年，均自申请日起计算。

自发明专利申请日起满四年，且自实质审查请求之日起满三年后授予发明专利权的，国务院专利行政部门应专利权人的请求，就发明专利在授权过程中的不合理延迟给予专利权期限补偿，但由申请人引起的不合理延迟除外。                "
"
          问
          商标失效还可以使用吗        ","根据我国《商标法》的规定，商标失效并不必然导致不能使用，需要区分根据异议理由来确定不同的应对方案。

商标失效使该商标处于“未注册”的法律状态，对此商标的使用应遵循不违反法律禁止性规定、不与他人在先注册商标或其他权利相冲突。此类判断专业性较强，建议委托专业人士根据具体案情给出意见。","
                  法律依据：
                  《商标法》第三十九条

注册商标的有效期为十年，自核准注册之日起计算。

《商标法》第四十条

注册商标有效期满，需要继续使用的，商标注册人应当在期满前十二个月内按照规定办理续展手续；
在此期间未能办理的，可以给予六个月的宽展期。每次续展注册的有效期为十年，自该商标上一届有效期满次日起计算。期满未办理续展手续的，注销其注册商标。

商标局应当对续展注册的商标予以公告。                "
"
          问
          如何界定一个字体是否属于侵权        ","可以根据以下要点界定一个字体是否属于侵权：

1、确定字体是否收费；

2、确定是否用于商用；

3、确定是否变形，文字变形是否超过50%。

一般收费字体在未购买版权的情况下用于商业用途，且变形较少或无变形，即涉及侵权。

根据《著作权法》第五十二条的规定，存在未经著作权人许可，发表其作品、未经合作作者许可，将与他人合作创作的作品当作自己单独创作的作品发表、没有参加创作，为谋取个人名利，在他人作品上署名等侵权行为，应当根据情况，承担停止损害、消除影响、赔礼道歉、赔偿损失等民事责任。","
                  法律依据：
                  中华人民共和国著作权法第五十二条

有下列侵权行为的，应当根据情况，承担停止侵害、消除影响、赔礼道歉、赔偿损失等民事责任：


（一）未经著作权人许可，发表其作品的；


（二）未经合作作者许可，将与他人合作创作的作品当作自己单独创作的作品发表的；


（三）没有参加创作，为谋取个人名利，在他人作品上署名的；


（四）歪曲、篡改他人作品的；


（五）剽窃他人作品的；


（六）未经著作权人许可，以展览、摄制视听作品的方法使用作品，或者以改编、翻译、注释等方式使用作品的，本法另有规定的除外。                "
"
          问
          版权侵权赔偿的标准是什么        ","版权侵权赔偿的标准有：

一、以被侵权人的实际损失为依据；

二、以侵权人的违法所得为依据；

三、法定赔偿。

根据《著作权法》第五十四条第一款至第三款规定，侵犯著作权或者与著作权有关的权利的，侵权人应当按照权利人因此受到的实际损失或者侵权人的违法所得给予赔偿；权利人的实际损失或者侵权人的违法所得无法计算的，可以参照该权利使用费给予赔偿。对故意侵犯著作权或者与著作权有关的权利，情节严重的，可以在按照上述方法确定数额的一倍以上五倍以下给予赔偿。

权利人的实际损失、侵权人的违法所得、权利使用费难以计算的，由人民法院根据侵权行为的情节，判决给予五百元以上五百万元以下的赔偿。

赔偿数额还应当包括权利人为制止侵权行为所支付的合理开支。","
                  法律依据：
                  《著作权法》第五十四条

侵犯著作权或者与著作权有关的权利的，侵权人应当按照权利人因此受到的实际损失或者侵权人的违法所得给予赔偿；
权利人的实际损失或者侵权人的违法所得难以计算的，可以参照该权利使用费给予赔偿。对故意侵犯著作权或者与著作权有关的权利，情节严重的，可以在按照上述方法确定数额的一倍以上五倍以下给予赔偿。

权利人的实际损失、侵权人的违法所得、权利使用费难以计算的，由人民法院根据侵权行为的情节，判决给予五百元以上五百万元以下的赔偿。

赔偿数额还应当包括权利人为制止侵权行为所支付的合理开支。                "
"
          问
          申请中药品种保护的程序是什么        ","申请中药品种保护的程序如下：

1、到所在省、自治区、直辖市中药生产经营主管部门提出保护申请；

2、报至国务院卫生行政部门后，由该部门委托评审委员会评审；

3、国务院卫生行政部门征求国家中药生产经营主管部门的意见后决定是否给予保护。

根据《中药品种保护条例》第十条的规定，申请中药品种保护的企业，应当按照国务院药品监督管理部门的规定，向国家中药品种保护评审委员会提交完整的资料。

第十一条规定，对批准保护的中药品种以及保护期满的中药品种，由国务院药品监督部门在指定的专业报刊上予以公告。","
                  法律依据：
                  《中药品种保护条例》第十条

申请中药品种保护的企业，应当按照国务院药品监督管理部门的规定，向国家中药品种保护审评委员会提交完整的资料。

第十一条

对批准保护的中药品种以及保护期满的中药品种，由国务院药品监督管理部门在指定的专业报刊上予以公告。                "
"
          问
          国外驰名商标抢注是侵权行为吗        ",我国对国外驰名商标的保护遵循对等原则，就是说，如果该国对我国驰名商标有相应的保护，我国也应对该国驰名商标给予对等保护，是否构成侵权不能一概而论。但我国商标注册遵循诚实信用原则，恶意抢注商标是违法行为。根据《中华人民共和国商标法》第三十二条规定，申请商标注册不得损害他人现有的在先权利，也不得以不正当手段抢先注册他人已经使用并有一定影响的商标。,"
                  法律依据：
                  《商标法》第二十二条第一款、第二款

商标注册申请人应当按规定的商品分类表填报使用商标的商品类别和商品名称，提出注册申请。

商标注册申请人可以通过一份申请就多个类别的商品申请注册同一商标。

第三十二条

申请商标注册不得损害他人现有的在先权利，也不得以不正当手段抢先注册他人已经使用并有一定影响的商标。                "
"
          问
          商标侵权赔偿对方不赔怎么办        ","商标侵权赔偿对方不赔，如果人民法院已经作出了判决且判决生效，当事人可以向法院申请强制执行。

根据《民事诉讼法》第二百三十六条的规定，发生法律效力的民事判决、裁定，当事人必须履行。一方拒绝履行的，对方当事人可以向人民法院申请执行，也可以由审判员移送执行员执行。

调解书和其他应当由人民法院执行的法律文书，当事人必须履行。一方拒绝履行的，对方当事人可以向人民法院申请执行。

第二百四十条规定，执行员接到申请执行书或者移交执行书，应当向被执行人发出执行通知，并可以立即采取强制执行措施。","
                  法律依据：
                  《民事诉讼法》第二百三十六条

发生法律效力的民事判决、裁定，当事人必须履行。一方拒绝履行的，对方当事人可以向人民法院申请执行，也可以由审判员移送执行员执行。

调解书和其他应当由人民法院执行的法律文书，当事人必须履行。一方拒绝履行的，对方当事人可以向人民法院申请执行。

《民事诉讼法》第二百四十条

执行员接到申请执行书或者移交执行书，应当向被执行人发出执行通知，并可以立即采取强制执行措施。                "
"
          问
          商标驳回复审期限是多久        ","商标部分被驳回，复审申请期限为十五日，自收到通知之日起计算。商标评审委员会作出复审决定的期限一般为九个月，自收到申请之日起计算。

《商标法》第三十四条规定，对驳回申请、不予公告的商标，商标局应当书面通知商标注册申请人。商标注册申请人不服的，可以自收到通知之日起十五日内向商标评审委员会申请复审。商标评审委员会应当自收到申请之日起九个月内做出决定，并书面通知申请人。有特殊情况需要延长的，经国务院工商行政管理部门批准，可以延长三个月。当事人对商标评审委员会的决定不服的，可以自收到通知之日起三十日内向人民法院起诉。","
                  法律依据：
                  《商标法》第三十四条

对驳回申请、不予公告的商标，商标局应当书面通知商标注册申请人。商标注册申请人不服的，可以自收到通知之日起十五日内向商标评审委员会申请复审。商标评审委员会应当自收到申请之日起九个月内做出决定，并书面通知申请人。有特殊情况需要延长的，经国务院工商行政管理部门批准，可以延长三个月。当事人对商标评审委员会的决定不服的，可以自收到通知之日起三十日内向人民法院起诉。                "
"
          问
          出版者的权利义务有哪些内容        ","出版者的权利如下：

1、经作者许可，可以修改作品；

2、有权许可或者禁止他人使用其出版的图书、期刊的版式设计；

3、出版合同约定的其它权利。

义务如下：

1、按照合同的约定，出版符合约定的图书；

2、重印、再版作品时通知著作权人、支付报酬；

3、合同约定的其它义务。

根据《著作权法》第三十二条的规定，图书出版者出版图书应当和著作权人订立出版合同，并支付报酬。

第三十三条规定，图书出版者对著作权人交付出版的作品，按照合同约定享有的专有出版权受法律保护，他人不得出版该作品。","
                  法律依据：
                  《著作权法》第三十二条

图书出版者出版图书应当和著作权人订立出版合同，并支付报酬。

第三十三条

图书出版者对著作权人交付出版的作品，按照合同约定享有的专有出版权受法律保护，他人不得出版该作品。                "
"
          问
          诗歌怎么申请著作权        ","诗歌申请著作权流程如下：

1、到版权保护中心提出登记申请；

2、按照要求，提供相应的材料；

3、版权中心受理申请并发出受理通知书；

4、审核通过后予以登记并颁发登记证书并予以公告。

根据《著作权法》第十二条的规定，在作品上署名的自然人、法人或者非法人组织为作者，且该作品上存在相应权利，但有相反证明的除外。

作者等著作权人可以向国家著作权主管部门认定的登记机构办理作品登记。

与著作权有关的权利参照适用前两款规定。","
                  法律依据：
                  《著作权法》第十二条

在作品上署名的自然人、法人或者非法人组织为作者，且该作品上存在相应权利，但有相反证明的除外。

作者等著作权人可以向国家著作权主管部门认定的登记机构办理作品登记。

与著作权有关的权利参照适用前两款规定。                "
