字段1,字段2,字段3
"
          问
          离婚后彩礼退吗        ","离婚后一般情况下彩礼不退还，但符合法定彩礼退还规定的法院准予退还。

根据《最高人民法院关于适用婚姻家庭编的解释（一）》第五条，当事人请求返还按照习俗给付的彩礼的，如果查明属于以下情形，人民法院应当予以支持：

(一)双方未办理结婚登记手续的；

(二)双方办理结婚登记手续但确未共同生活的；

(三)婚前给付并导致给付人生活困难的。

适用前款第（二）（三）项的规定，应当以双方离婚为条件。","
                  法律依据：
                  最高人民法院关于适用婚姻家庭编的解释（一）第五条

当事人请求返还按照习俗给付的彩礼的，如果查明属于以下情形，人民法院应当予以支持：


（一）双方未办理结婚登记手续；


（二）双方办理结婚登记手续但确未共同生活；


（三）婚前给付并导致给付人生活困难。

适用前款第二项、第三项的规定，应当以双方离婚为条件。                "
"
          问
          一般协议离婚财产的分配是什么        ","协议离婚，分配夫妻共同财产，个人财产不参与离婚财产分割。

根据《民法典》第一千零八十七条，离婚时，夫妻的共同财产由双方协议处理；协议不成的，由人民法院根据财产的具体情况，按照照顾子女、女方和无过错方权益的原则判决。

作为离婚案件当事人的男女双方，以协议方式对财产进行分割，则属于其协商一致对私人事务进行处理的范畴，其处分自己权利的意思表示自由应当被尊重，只要双方能够达成一致，不存在无效的事由，无论如何分配都是当事人的自由。","
                  法律依据：
                  中华人民共和国民法典第一千零八十七条

离婚时，夫妻的共同财产由双方协议处理；
协议不成的，由人民法院根据财产的具体情况，按照照顾子女、女方和无过错方权益的原则判决。

对夫或者妻在家庭土地承包经营中享有的权益等，应当依法予以保护。                "
"
          问
          结婚时买首饰算婚内个人财产吗        ","结婚时买首饰，如果在结婚登记前购买，属于个人婚前财产，如果在结婚登记后购买，则属于夫妻共同财产。

根据《最高人民法院关于适用婚姻家庭编的解释（一）》第三十一条，民法典第一千零六十三条规定为夫妻一方的个人财产，不因婚姻关系的延续而转化为夫妻共同财产。但当事人另有约定的除外。

根据《民法典》第一千零六十三条，下列财产为夫妻一方的个人财产：

（一）一方的婚前财产；

（二）一方因受到人身损害获得的赔偿或者补偿；

（三）遗嘱或者赠与合同中确定只归一方的财产；

（四）一方专用的生活用品；

（五）其他应当归一方的财产。","
                  法律依据：
                  《民法典》第一千零六十三条

下列财产为夫妻一方的个人财产：

（一）一方的婚前财产；

（二）一方因受到人身损害获得的赔偿或者补偿；

（三）遗嘱或者赠与合同中确定只归一方的财产；

（四）一方专用的生活用品；

（五）其他应当归一方的财产。

《最高人民法院关于适用婚姻家庭编的解释（一）》第三十一条

民法典第一千零六十三条规定为夫妻一方的个人财产，不因婚姻关系的延续而转化为夫妻共同财产。但当事人另有约定的除外。                "
"
          问
          离婚即丧失全部财产的协议是否有效        ","离婚即丧失全部财产的协议是有效的，只要该协议是双方真实自愿的意思表达且程序、内容合法。

根据《民法典》第一千零七十六条，夫妻双方自愿离婚的，应当签订书面离婚协议，离婚协议应当载明双方自愿离婚的意思表示和对子女抚养、财产以及债务处理等事项协商一致的意见。

根据《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第七十条，夫妻双方协议离婚后就财产分割问题反悔，请求撤销财产分割协议的，人民法院应当受理。

人民法院审理后，未发现订立财产分割协议时存在欺诈、胁迫等情形的，应当依法驳回当事人的诉讼请求。","
                  法律依据：
                  《民法典》第一千零七十六条

夫妻双方自愿离婚的，应当签订书面离婚协议，并亲自到婚姻登记机关申请离婚登记。

离婚协议应当载明双方自愿离婚的意思表示和对子女抚养、财产以及债务处理等事项协商一致的意见。

《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第七十条

夫妻双方协议离婚后就财产分割问题反悔，请求撤销财产分割协议的，人民法院应当受理。

人民法院审理后，未发现订立财产分割协议时存在欺诈、胁迫等情形的，应当依法驳回当事人的诉讼请求。                "
"
          问
          父母离婚后子女如何尽赡养义务        ","父母离婚后子女尽赡养义务的方式有：

在物质上、经济上为父母提供必要的生活条件，在精神上和生活上给予关心、帮助和照料，尤其是对年老体弱、丧失劳动能力、生活有困难的父母，更应该自觉地履行赡养义务。

根据《民法典》第二十六条，成年子女对父母负有赡养、扶助和保护的义务。

根据《老年人权益保护法》第十三条，老年人养老以居家为基础，家庭成员应当尊重、关心和照料老年人。

根据第十四条，赡养人应当履行对老年人经济上供养、生活上照料和精神上慰藉的义务，照顾老年人的特殊需要。

赡养人是指老年人的子女以及其他依法负有赡养义务的人。

赡养人的配偶应当协助赡养人履行赡养义务。","
                  法律依据：
                  中华人民共和国民法典第二十六条

父母对未成年子女负有抚养、教育和保护的义务。

成年子女对父母负有赡养、扶助和保护的义务。

中华人民共和国民法典第一千零六十九条

子女应当尊重父母的婚姻权利，不得干涉父母离婚、再婚以及婚后的生活。子女对父母的赡养义务，不因父母的婚姻关系变化而终止。                "
"
          问
          在哪些情况下，当事人可以要求返还彩礼        ","当事人可以要求返还彩礼的情况，根据《最高人民法院关于适用婚姻家庭编的解释（一）》第五条：

当事人请求返还按照习俗给付的彩礼的，如果查明属于以下情形，人民法院应当予以支持：

（一）双方未办理结婚登记手续的；

（二）双方办理结婚登记手续但确未共同生活的；

（三）婚前给付并导致给付人生活困难的。

适用前款第（二）（三）项的规定，应当以双方离婚为条件。

其中生活困难应当是指绝对困难，而不是相对困难。所谓绝对困难给付彩礼后，造成其生活靠自己的力量已经无法维持当地最基本的生活水平，而不是与给付彩礼之前相比，财产受到损失，相对于原来的生活条件比较困难了。","
                  法律依据：
                  《最高人民法院关于适用婚姻家庭编的解释（一）》第五条

当事人请求返还按照习俗给付的彩礼的，如果查明属于以下情形，人民法院应当予以支持：

（一）双方未办理结婚登记手续；

（二）双方办理结婚登记手续但确未共同生活；

（三）婚前给付并导致给付人生活困难。

适用前款第二项、第三项的规定，应当以双方离婚为条件                "
"
          问
          离婚后起诉要求分割财产的时效问题        ","如果在离婚中已经处分了财产，离婚后又有新情况，起诉要求再次分割财产的时效一般为三年。

根据《民法典》第一千零九十二条，夫妻一方隐藏、转移、变卖、毁损、挥霍夫妻共同财产，或伪造夫妻共同债务企图侵占另一方财产，离婚后，另一方发现有上述行为的，可以向人民法院提起诉讼，请求再次分割夫妻共同财产。

根据《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第八十四条，当事人依据民法典第一千零九十二条的规定向人民法院提起诉讼，请求再次分割夫妻共同财产的诉讼时效期间为三年，从当事人发现之日起计算。","
                  法律依据：
                  《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第八十四条

当事人依据民法典第一千零九十二条的规定向人民法院提起诉讼，请求再次分割夫妻共同财产的诉讼时效期间为三年，从当事人发现之日起计算。

《民法典》第一百八十八条

向人民法院请求保护民事权利的诉讼时效期间为三年。法律另有规定的，依照其规定。

诉讼时效期间自权利人知道或者应当知道权利受到损害以及义务人之日起计算。法律另有规定的，依照其规定。但是，自权利受到损害之日起超过二十年的，人民法院不予保护，有特殊情况的，人民法院可以根据权利人的申请决定延长。                "
"
          问
          婚前房产未公证可以变化共有财产吗        ","婚前房产未公证不可以变为共有财产。婚前一方的房产即使未公证也属于夫妻一方所有，是不会变成共有房产的。

根据《民法典》第一千零六十三条，下列财产为夫妻一方的个人财产：

（一）一方的婚前财产；

（二）一方因受到人身损害获得的赔偿或者补偿；

（三）遗嘱或者赠与合同中确定只归一方的财产；

（四）一方专用的生活用品；

（五）其他应当归一方的财产

根据《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第三十一条，民法典第一千零六十三条规定为夫妻一方的个人财产，不因婚姻关系的延续而转化为夫妻共同财产。但当事人另有约定的除外。","
                  法律依据：
                  《民法典》第一千零六十三条

下列财产为夫妻一方的个人财产：

（一）一方的婚前财产；

（二）一方因受到人身损害获得的赔偿或者补偿；

（三）遗嘱或者赠与合同中确定只归一方的财产；

（四）一方专用的生活用品；

（五）其他应当归一方的财产。

《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第三十一条

民法典第一千零六十三条规定为夫妻一方的个人财产，不因婚姻关系的延续而转化为夫妻共同财产。但当事人另有约定的除外。                "
"
          问
          离婚一方私自带走孩子违法吗        ","离婚一方私自带走孩子违法，可以通过起诉，请求法院强制执行解决。

有抚养权一方因不让另一方行使探望权而带走子女，另一方可以向法院申请强制执行，对拒不履行协助另一方行使探望权的个人采取强制措施；

无抚养权一方带走子女，另一方可以向法院申请强制执行，要求将小孩交回抚养监护。对方带走孩子造成严重后果的，也可以申请法院中止探望权。

根据《最高人民法院关于适用婚姻家庭编的解释（一）》第六十八条，对于拒不协助另一方行使探望权的有关个人或者组织，可以由人民法院依法采取拘留、罚款等强制措施，但是不能对子女的人身、探望行为进行强制执行。","
                  法律依据：
                  《最高人民法院关于适用婚姻家庭编的解释（一）》第六十八条

对于拒不协助另一方行使探望权的有关个人或者组织，可以由人民法院依法采取拘留、罚款等强制措施，但是不能对子女的人身、探望行为进行强制执行。                "
"
          问
          一个人可以去办离婚吗        ","一个人不可以去办离婚，但可以起诉离婚。

离婚手续办理需要双方提供有效的证件到民政部门办理离婚手续；若由于无法协商导致双方不能前往办理离婚的，其中一方可以带上相关资料到人民法院提出诉讼离婚，诉讼离婚不需要双方同时前往，可以由一方发起另一方再前往办理手续。

根据《民法典》第一千零七十六条，夫妻双方自愿离婚的，应当签订书面离婚协议，并亲自到婚姻登记机关申请离婚登记。

根据第一千零七十九条，夫妻一方要求离婚的，可以由有关组织进行调解或者直接向人民法院提起离婚诉讼。","
                  法律依据：
                  中华人民共和国民法典第一千零七十九条

夫妻一方要求离婚的，可以由有关组织进行调解或者直接向人民法院提起离婚诉讼。

人民法院审理离婚案件，应当进行调解；
如果感情确已破裂，调解无效的，应当准予离婚。

有下列情形之一，调解无效的，应当准予离婚：


（一）重婚或者与他人同居；


（二）实施家庭暴力或者虐待、遗弃家庭成员；


（三）有赌博、吸毒等恶习屡教不改；


（四）因感情不和分居满二年；


（五）其他导致夫妻感情破裂的情形。                "
"
          问
          不履行离婚协议书的诉讼时效是什么        ","不履行离婚协议书的诉讼时效一般为三年，从知道之日起算。离婚协议中关于财产分割的条款或者当事人因离婚就财产分割达成的协议，对男女双方具有法律约束力。

根据《民法典》第一百八十八条，向人民法院请求保护民事权利的诉讼时效期间为三年。法律另有规定的，依照其规定。诉讼时效期间自权利人知道或者应当知道权利受到损害以及义务人之日起计算。法律另有规定的，依照其规定。但是，自权利受到损害之日起超过二十年的，人民法院不予保护，有特殊情况的，人民法院可以根据权利人的申请决定延长。

根据《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第七十条，夫妻双方协议离婚后就财产分割问题反悔，请求撤销财产分割协议的，人民法院应当受理。人民法院审理后，未发现订立财产分割协议时存在欺诈、胁迫等情形的，应当依法驳回当事人的诉讼请求。","
                  法律依据：
                  《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第七十条

夫妻双方协议离婚后就财产分割问题反悔，请求撤销财产分割协议的，人民法院应当受理。

人民法院审理后，未发现订立财产分割协议时存在欺诈、胁迫等情形的，应当依法驳回当事人的诉讼请求。                "
"
          问
          离婚协议不支付抚养费的约定是否有效        ","离婚协议不支付抚养费的约定是有效的。

根据《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第五十二条，父母双方可以协议由一方直接抚养子女并由直接抚养方负担子女全部抚养费。但是，直接抚养方的抚养能力明显不能保障子女所需费用，影响子女健康成长的，人民法院不予支持。

父母对子女的抚养义务不能因离婚而得以免除。即使在父母协议约定由一方承担子女的全部抚养费的情形下，另一方虽不承担支付抚养费的义务，但对子女仍负有抚养的责任，子女依旧得以向其主张抚养费请求权。","
                  法律依据：
                  《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第五十二条

父母双方可以协议由一方直接抚养子女并由直接抚养方负担子女全部抚养费。但是，直接抚养方的抚养能力明显不能保障子女所需费用，影响子女健康成长的，人民法院不予支持。                "
"
          问
          法律规定娃娃哺乳期能不能离婚        ","法律规定娃娃哺乳期能离婚：双方可以协议离婚，但是原则上男方不能提出离婚。

根据《民法典》第一千零八十二条，女方在怀孕期间、分娩后一年内或者终止妊娠后六个月内，男方不得提出离婚；但是，女方提出离婚或者人民法院认为确有必要受理男方离婚请求的除外。

这里所说的“确有必要”，一般是指女方存在过错，或者未尽对婴幼儿的抚养义务，严重损害夫妻关系，导致夫妻感情破裂的情形。

在这种情况下，即使女方不同意其配偶提起的离婚请求，人民法院依然可以认定夫妻感情确已破裂而依法作出准予离婚的判决。","
                  法律依据：
                  《民法典》第一千零八十二条

女方在怀孕期间、分娩后一年内或者终止妊娠后六个月内，男方不得提出离婚；但是，女方提出离婚或者人民法院认为确有必要受理男方离婚请求的除外。                "
"
          问
          离婚协议中是否可以约定不承担抚养费        ","离婚协议中可以约定不承担抚养费。

根据《最高人民法院关于适用婚姻家庭编的解释（一）》第五十二条，父母双方可以协议由一方直接抚养子女并由直接抚养方负担子女全部抚养费。但是，直接抚养方的抚养能力明显不能保障子女所需费用，影响子女健康成长的，人民法院不予支持。

离婚后，父母对于子女仍有抚养、教育、保护的权利和义务。即父母对子女负有基于法律的直接规定而产生的法定义务，这种义务既有人身属性，又有经济属性，且不附加任何条件，不因夫妻双方之间婚姻存续状态的变化而变化，它是子女抚养费请求权的基础。","
                  法律依据：
                  《最高人民法院关于适用婚姻家庭编的解释（一）》第五十二条

父母双方可以协议由一方直接抚养子女并由直接抚养方负担子女全部抚养费。但是，直接抚养方的抚养能力明显不能保障子女所需费用，影响子女健康成长的，人民法院不予支持。                "
"
          问
          委托办理结婚登记可以吗        ","委托办理结婚登记不可以，结婚只能双方亲自去办理才行。

根据《民法典》第一千零四十九条，要求结婚的男女双方应当亲自到婚姻登记机关申请结婚登记。符合本法规定的，予以登记，发给结婚证。完成结婚登记，即确立婚姻关系。

根据《婚姻登记工作规范》第二十八条，受理结婚登记申请的条件是：

（一）婚姻登记处具有管辖权；

（二）要求结婚的男女双方共同到婚姻登记处提出申请；

（三）当事人男年满22周岁，女年满20周岁；

（四）当事人双方均无配偶（未婚、离婚、丧偶）；

（五）当事人双方没有直系血亲和三代以内旁系血亲关系；

（六）双方自愿结婚；

（七）当事人提交3张2寸双方近期半身免冠合影照片；

（八）当事人持有本规范第二十九条至第三十五条规定的有效证件。","
                  法律依据：
                  《婚姻登记工作规范》第二十八条

受理结婚登记申请的条件是：

（一）婚姻登记处具有管辖权；

（二）要求结婚的男女双方共同到婚姻登记处提出申请；

（三）当事人男年满22周岁，女年满20周岁；

（四）当事人双方均无配偶（未婚、离婚、丧偶）；

（五）当事人双方没有直系血亲和三代以内旁系血亲关系；

（六）双方自愿结婚；

（七）当事人提交3张2寸双方近期半身免冠合影照片；

（八）当事人持有本规范第二十九条至第三十五条规定的有效证件。                "
"
          问
          离婚诉讼中小孩会怎么判        ","离婚诉讼中小孩会判给更有利于其健康成长的一方，由生活环境、生活条件、子女意愿、自身条件等因素决定。

根据《民法典》第一千零八十四条，离婚后，不满两周岁的子女，以由母亲直接抚养为原则。已满两周岁的子女，父母双方对抚养问题协议不成的，由人民法院根据双方的具体情况，按照最有利于未成年子女的原则判决。

根据《最高人民法院关于适用婚姻家庭编的解释（一）》第四十六条，对已满两周岁的未成年子女，父母均要求直接抚养，一方有下列情形之一的，可予优先考虑：

（一）已做绝育手术或者因其他原因丧失生育能力；

（二）子女随其生活时间较长，改变生活环境对子女健康成长明显不利；

（三）无其他子女，而另一方有其他子女；

（四）子女随其生活，对子女成长有利。","
                  法律依据：
                  《民法典》第一千零八十四条

父母与子女间的关系，不因父母离婚而消除。离婚后，子女无论由父或者母直接抚养，仍是父母双方的子女。

离婚后，父母对于子女仍有抚养、教育、保护的权利和义务。

离婚后，不满两周岁的子女，以由母亲直接抚养为原则。已满两周岁的子女，父母双方对抚养问题协议不成的，由人民法院根据双方的具体情况，按照最有利于未成年子女的原则判决。子女已满八周岁的，应当尊重其真实意愿。                "
"
          问
          离婚不要财产抚养费可以不给吗        ","离婚不要财产抚养费不可以不给。

根据《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第五十一条，父母一方无经济收入或者下落不明的，可以用其财物折抵抚养费。

根据《民法典》第一千零八十五条，离婚后，子女由一方直接抚养的，另一方应当负担部分或者全部抚养费。

离婚后，父母对于子女仍有抚养、教育、保护的权利和义务。即父母对子女负有基于法律的直接规定而产生的法定义务，这种义务既有人身属性，又有经济属性，且不附加任何条件，不因夫妻双方之间婚姻存续状态的变化而变化，它是子女抚养费请求权的基础。","
                  法律依据：
                  《民法典》第一千零八十五条

离婚后，子女由一方直接抚养的，另一方应当负担部分或者全部抚养费。负担费用的多少和期限的长短，由双方协议；协议不成的，由人民法院判决。

前款规定的协议或者判决，不妨碍子女在必要时向父母任何一方提出超过协议或者判决原定数额的合理要求。                "
"
          问
          离婚财产可以赠与父母吗        ","离婚财产可以赠与父母，如果双方协商一致，可以对财产进行分配。

根据《民法典》第一千零七十六条，离婚协议应当载明双方自愿离婚的意思表示和对子女抚养、财产以及债务处理等事项协商一致的意见。

根据第一千零六十五条，男女双方可以约定婚姻关系存续期间所得的财产以及婚前财产归各自所有、共同所有或者部分各自所有、部分共同所有。约定应当采用书面形式。

夫妻对婚姻关系存续期间所得的财产以及婚前财产的约定，对双方具有法律约束力。","
                  法律依据：
                  《民法典》第一千零七十六条

夫妻双方自愿离婚的，应当签订书面离婚协议，并亲自到婚姻登记机关申请离婚登记。

离婚协议应当载明双方自愿离婚的意思表示和对子女抚养、财产以及债务处理等事项协商一致的意见。                "
"
          问
          无效婚姻财产如何分割        ","无效婚姻财产原则上均等分割，根据《民法典》第一千零五十四条，同居期间所得的财产，由当事人协议处理；协议不成的，由人民法院根据照顾无过错方的原则判决。对重婚导致的无效婚姻的财产处理，不得侵害合法婚姻当事人的财产权益。当事人所生的子女，适用本法关于父母子女的规定。

婚姻无效或者被撤销的，无过错方有权请求损害赔偿。

此处“照顾无过错方的原则”主要是考虑到有的婚姻无效或者被撤销，另一方当事人可能并不知情，其以为是合法有效的婚姻并对该段婚姻付出，对婚姻无效和婚姻被撤销并无过错，故人民法院在对财产进行处理时，应当适当照顾无过错方，对无过错的一方可多分财产。","
                  法律依据：
                  《民法典》第一千零五十四条

无效的或者被撤销的婚姻自始没有法律约束力，当事人不具有夫妻的权利和义务。同居期间所得的财产，由当事人协议处理；协议不成的，由人民法院根据照顾无过错方的原则判决。对重婚导致的无效婚姻的财产处理，不得侵害合法婚姻当事人的财产权益。当事人所生的子女，适用本法关于父母子女的规定。

婚姻无效或者被撤销的，无过错方有权请求损害赔偿。                "
"
          问
          哪些人是无民事行为能力人的法定监护人        ","根据《民法典》第二十八条，无民事行为能力人的法定监护人由下列有监护能力的人按顺序担任：

（一）配偶；

（二）父母、子女；

（三）其他近亲属；

（四）其他愿意担任监护人的个人或者组织，但是须经被监护人住所地的居民委员会、村民委员会或者民政部门同意。

夫妻双方共同生活，有相互扶养的义务，有对共同财产的支配权，情感基础良好、生活联系密切，因此，由配偶作为第一顺序监护人有利于保护被监护人的各项合法权益。父母子女之间既有天然情感，又有法定抚养、赡养关系，也是适合担任监护人的主要人员。","
                  法律依据：
                  《民法典》第二十八条

无民事行为能力或者限制民事行为能力的成年人，由下列有监护能力的人按顺序担任监护人：

（一）配偶；

（二）父母、子女；

（三）其他近亲属；

（四）其他愿意担任监护人的个人或者组织，但是须经被监护人住所地的居民委员会、村民委员会或者民政部门同意。                "
"
          问
          离婚十年了抚养费可以追要几年的        ","离婚十年了抚养费可以追要未支付的年份的数额。

抚养费不受时效限制，追讨抚养费首先体现为身份利益上的请求权，尤为重要的是这关涉人的基本生存权利，也涉及对弱势群体利益的保护。

根据《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第四十九条，抚养费的数额，可以根据子女的实际需要、父母双方的负担能力和当地的实际生活水平确定。

有固定收入的，抚养费一般可以按其月总收入的百分之二十至三十的比例给付。负担两个以上子女抚养费的，比例可以适当提高，但一般不得超过月总收入的百分之五十。

无固定收入的，抚养费的数额可以依据当年总收入或者同行业平均收入，参照上述比例确定。

有特殊情况的，可以适当提高或者降低上述比例。","
                  法律依据：
                  《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第四十九条

抚养费的数额，可以根据子女的实际需要、父母双方的负担能力和当地的实际生活水平确定。

有固定收入的，抚养费一般可以按其月总收入的百分之二十至三十的比例给付。负担两个以上子女抚养费的，比例可以适当提高，但一般不得超过月总收入的百分之五十。

无固定收入的，抚养费的数额可以依据当年总收入或者同行业平均收入，参照上述比例确定。

有特殊情况的，可以适当提高或者降低上述比例。                "
"
          问
          离婚协议书中如何约定对孩子抚养及户口        ","离婚协议书中约定对孩子抚养及户口，可以约定将户口迁出或者维持现状，规定子女的抚养权归某一方所有。

根据《民法典》第一千零七十六条，离婚协议应当载明双方自愿离婚的意思表示和对子女抚养、财产以及债务处理等事项协商一致的意见。

子女抚养问题的处理主要是指妥当安排未成年子女和不具备独立生活能力的子女的所有问题，包括但不限于子女由哪一方直接抚养、子女的抚养费用和教育费用如何负担、未直接抚养子女一方对子女探视权的行使等。","
                  法律依据：
                  《民法典》第一千零七十六条

夫妻双方自愿离婚的，应当签订书面离婚协议，并亲自到婚姻登记机关申请离婚登记。

离婚协议应当载明双方自愿离婚的意思表示和对子女抚养、财产以及债务处理等事项协商一致的意见。                "
"
          问
          法律规定离婚需要的条件        ","根据《婚姻登记工作规范》第五十五条，法律规定离婚需要的条件：

（一）婚姻登记处具有管辖权；

（二）要求离婚的夫妻双方共同到婚姻登记处提出申请；

（三）双方均具有完全民事行为能力；

（四）当事人持有离婚协议书，协议书中载明双方自愿离婚的意思表示以及对子女抚养、财产及债务处理等事项协商一致的意见；

（五）当事人持有内地婚姻登记机关或者中国驻外使（领）馆颁发的结婚证；

（六）当事人各提交2张2寸单人近期半身免冠照片；

（七）当事人持有本规范第二十九条至第三十五条规定的有效身份证件。","
                  法律依据：
                  《婚姻登记工作规范》第五十五条

受理离婚登记申请的条件是：

（一）婚姻登记处具有管辖权；

（二）要求离婚的夫妻双方共同到婚姻登记处提出申请；

（三）双方均具有完全民事行为能力；

（四）当事人持有离婚协议书，协议书中载明双方自愿离婚的意思表示以及对子女抚养、财产及债务处理等事项协商一致的意见；

（五）当事人持有内地婚姻登记机关或者中国驻外使（领）馆颁发的结婚证；

（六）当事人各提交2张2寸单人近期半身免冠照片；

（七）当事人持有本规范第二十九条至第三十五条规定的有效身份证件。                "
"
          问
          收养子女的条件有什么        ","根据《民法典》第一千零九十八条，收养子女的条件有：

（一）无子女或者只有一名子女；

（二）有抚养、教育和保护被收养人的能力；

（三）未患有在医学上认为不应当收养子女的疾病；

（四）无不利于被收养人健康成长的违法犯罪记录；

（五）年满三十周岁。

根据第一千一百零二条，无配偶者收养异性子女的，收养人与被收养人的年龄应当相差四十周岁以上。","
                  法律依据：
                  《民法典》第一千零九十八条

收养人应当同时具备下列条件：

（一）无子女或者只有一名子女；

（二）有抚养、教育和保护被收养人的能力；

（三）未患有在医学上认为不应当收养子女的疾病；

（四）无不利于被收养人健康成长的违法犯罪记录；

（五）年满三十周岁。

第一千一百零二条

无配偶者收养异性子女的，收养人与被收养人的年龄应当相差四十周岁以上。                "
"
          问
          婚姻无效判决是否能上诉        ","婚姻无效判决不能上诉。

根据《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第十七条的规定，当事人以民法典第一千零五十一条规定的三种无效婚姻以外的情形请求确认婚姻无效的，人民法院应当判决驳回当事人的诉讼请求。

当事人以结婚登记程序存在瑕疵为由提起民事诉讼，主张撤销结婚登记的，告知其可以依法申请行政复议或者提起行政诉讼。","
                  法律依据：
                  《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第十七条

当事人以民法典第一千零五十一条规定的三种无效婚姻以外的情形请求确认婚姻无效的，人民法院应当判决驳回当事人的诉讼请求。

当事人以结婚登记程序存在瑕疵为由提起民事诉讼，主张撤销结婚登记的，告知其可以依法申请行政复议或者提起行政诉讼。                "
"
          问
          离婚一方不去法院起诉离婚吗        ","离婚一方不去法院起诉离婚是不行的。

被告无正当理由不到庭，可以作缺席判决。原告无正当理由不到庭，作撤诉处理。

根据《民事诉讼法》第六十二条，离婚案件有诉讼代理人的，本人除不能表达意思的以外，仍应出庭；确因特殊情况无法出庭的，必须向人民法院提交书面意见。

根据第一百四十四条，被告经传票传唤，无正当理由拒不到庭的，或者未经法庭许可中途退庭的，可以缺席判决。

根据第一百四十三条，原告经传票传唤，无正当理由拒不到庭的，或者未经法庭许可中途退庭的，可以按撤诉处理；被告反诉的，可以缺席判决。","
                  法律依据：
                  《民事诉讼法》第六十二条

离婚案件有诉讼代理人的，本人除不能表达意思的以外，仍应出庭；确因特殊情况无法出庭的，必须向人民法院提交书面意见。

第一百四十四条

被告经传票传唤，无正当理由拒不到庭的，或者未经法庭许可中途退庭的，可以缺席判决。

第一百四十三条

原告经传票传唤，无正当理由拒不到庭的，或者未经法庭许可中途退庭的，可以按撤诉处理；被告反诉的，可以缺席判决。                "
"
          问
          离婚房子是婚后一方父母买的怎么分割        ","离婚房子是婚后一方父母买的分割方式：

1、赠与时明确了受赠人是夫妻一方的，为该方的个人财产，不参与离婚财产分割。

2、属于夫妻共同财产的，由双方协商分割，协商不成的，由法院按情况分割。

根据《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第七十六条，双方对夫妻共同财产中的房屋价值及归属无法达成协议时，人民法院按以下情形分别处理：

（一）双方均主张房屋所有权并且同意竞价取得的，应当准许；

（二）一方主张房屋所有权的，由评估机构按市场价格对房屋作出评估，取得房屋所有权的一方应当给予另一方相应的补偿；

（三）双方均不主张房屋所有权的，根据当事人的申请拍卖、变卖房屋，就所得价款进行分割。","
                  法律依据：
                  《最高人民法院关于适用〈中华人民共和国民法典〉婚姻家庭编的解释（一）》第七十六条

双方对夫妻共同财产中的房屋价值及归属无法达成协议时，人民法院按以下情形分别处理：

（一）双方均主张房屋所有权并且同意竞价取得的，应当准许；

（二）一方主张房屋所有权的，由评估机构按市场价格对房屋作出评估，取得房屋所有权的一方应当给予另一方相应的补偿；

（三）双方均不主张房屋所有权的，根据当事人的申请拍卖、变卖房屋，就所得价款进行分割。                "
"
          问
          继承权可以随意放弃和转让吗        ","继承权不可以随意放弃和转让。只有经过法定程序才能放弃继承权，继承权不能转让。

根据《民法典》第一千一百二十四条，继承开始后，继承人放弃继承的，应当在遗产处理前，以书面形式作出放弃继承的表示；没有表示的，视为接受继承。

放弃继承的意思表示必须是真实的意思表示。如果因受欺骗、胁迫等，让继承人违背真实意思而作出放弃继承的意思表示，则放弃继承属无效行为。

放弃继承可以反悔，但时间必须在遗产处理之前。如放弃继承在遗产处理之后，即不予承认，因为遗产一旦处理，则继承已经结束，法律如果再行支持反悔，将使遗产处理问题长期处于不稳定状态，不利于遗产的利用和效益的发挥，也将使遗产分割后已经稳定的社会经济关系受到影响。","
                  法律依据：
                  《民法典》第一千一百二十四条

继承开始后，继承人放弃继承的，应当在遗产处理前，以书面形式作出放弃继承的表示；没有表示的，视为接受继承。

受遗赠人应当在知道受遗赠后六十日内，作出接受或者放弃受遗赠的表示；到期没有表示的，视为放弃受遗赠。                "
